"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Fixed-broadband subscriptions","Afghanistan","","","","","","","","","","","","","200","","Ministry of Communications.","220","","Ministry of Communications.","500","","Ministry of Communications.","500","","ITU estimate.","500","","ITU estimate.","1000","","Ministry of Communications.","1500","","ITU estimate.","","","","1500","","ITU estimate.","1500","","ITU estimate.","1500","","ITU estimate.","7067","","Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)","8801","","Afghanistan Telecom Regulatory Authority","9182","","Afghanistan Telecom Regulatory Authority","15999","","Afghanistan Telecom Regulatory Authority","19683","","Afghanistan Telecom Regulatory Authority"
"Fixed-broadband subscriptions","Albania","","","","","","","","","","","","","","","","272","","ITU estimate.","","","","10000","","Ministry of Transport and Telecommunications.","64000","","Ministry of Public Works Transport and Telcommunication. National Agency of Information Society.","92000","","Ministry of Transport and Telecommunications.","105539","","Minister for Innovation and ICT","128210","","Minister for Innovation and ICT","160088","","National Agency on Information Society","182556","","Ministry of Innovation and Public Administration/National Agency for Information Society","207964","","Minister of State for the Innovation and Public Administration","242870","","Minister of State for the Innovation and Public Administration","266379","","AKEP","303612","","Ministry of Infrastructure and Energy","361947","","Ministry of Infrastructure and Energy","436192","","Ministry of Infrastructure and Energy"
"Fixed-broadband subscriptions","Algeria","","","","","","","","","","18000","","ITU estimate.","36000","","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","135000","","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","170000","","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","287039","","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","485000","","ITU estimate.","818000","","ITU estimate.","900000","","Autorité de Régulation de la Poste et des Télécommunications","980752","","Ministère de la Poste et des Technologies de l'Information et de la Communication","1154748","","","1280000","A few subscriptions between 128 and 256 kbps are still included.","","1599692","A few subscriptions between 128 and 256 kbps are still included.","Ministère de la Poste et des Technologies de l'Information et de la Communication","2269348","A few subscriptions between 128 and 256 kbps are still included.","Ministère de la  Poste et des Technologies de l'Information et de la Communication","2859567","","Ministère de la Poste; des Télécommunications; des Technologies et du Numérique","3210267","Correction : L'écart est dû à l'ajout d'autres technologies pris en charge dans la difinition de l'UIT : FTTX + LS + WiMAX;  Large bande Satellite; et d'autres fournisseurs d'acces internet .","Ministère de la Poste et des Télécommunications","3067022","L'écart est dû à l'ajout des données d'autres abonnées de certaines technologies pris en charge dans la définition de l'UIT : FTTX + LS + WiMAX;  Large bande Satellite; et d'autres fournisseurs d’accès internet . ;","Ministère de la Poste et des Télécommunications","3582739","","Ministère de la Poste et des Télécommunications"
"Fixed-broadband subscriptions","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fixed-broadband subscriptions","Andorra","","","","","","","1148","","","3601","","","6282","","","10341","","","14616","","","18526","","ITU estimate.","20672","","ITU estimate.","22941","","ITU estimate.","24502","","Servei de Telecomunicacions d'Andorra","25763","","Servei de Telecomunicacions d'Andorra","26905","","Servei de Telecomunicacions d'Andorra","27734","","Servei de Telecomunicacions d'Andorra","28770","","Servei de Telecomunicacions d'Andorra","30694","","Andorra Telecom SAU","32490","","Andorra Telecom SAU","34284","","Andorra Telecom SAU","35663","","Andorra Telecom SAU","36358","","Andorra Telecom SAU"
"Fixed-broadband subscriptions","Angola","","","","","","","","","","","","","","","","","","","7458","","","11700","","ITU estimate.","15942","","ITU estimate.","15000","","ITU estimate.","15000","","ITU estimate.","15817","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","20512","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","22282","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","87750","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","153571","","Angolan Institute of Communications","84724","","Angolan Institute of Communications","96919","","Angolan Institute of Communications","109561","","Angolan Institute of Communications","119068","","Angolan Institute of Communications"
"Fixed-broadband subscriptions","Anguilla","","","","1229","","Public Utilities Commission.","1391","","Public Utilities Commission.","1648","","Public Utilities Commission.","1456","","Public Utilities Commission.","2218","","Public Utilities Commission.","2839","","Public Utilities Commission.","3300","","Ministry of Infrastructure; Communication & Utilities","3653","","Ministry of Infrastructure; Communication & Utilities","3753","","Public Utilities Commission","3789","","Public Utilities Commission","3947","","public utilities commission","4100","","ITU estimate.","4300","","ITU estimate.","4400","","ITU estimate.","5000","","ITU estimate.","","","","","","","","","","","",""
"Fixed-broadband subscriptions","Antigua and Barbuda","","","","","","","","","","","","","1662","","ITU estimate.","5801","","ITU estimate.","1541","","ITU estimate.","2266","","ITU estimate.","4986","","ITU estimate.","16014","","ITU estimate.","7119","","Telecom Divison/Ministry of Information; Broadcasting; Telecommunications; Science & Technology","6000","","Telecom Divison/Ministry of Information; Broadcasting; Telecommunications; Science & Technology","13070","","Telecom Divison/Ministry of Telecommunications; Science & Technology","15647","","Telecoms Divison/Ministry of Information; Broadcasting; Telecommunications; & Information Technology","10754","","Ministry of Information; Broadcasting; Telecommunications; and Information Technology","10000","","ITU estimate.","9261","","Ministry of Information; Broadcasting; Telecommunications and Information Technology","9000","","ITU estimate.","","","","","",""
"Fixed-broadband subscriptions","Argentina","","","","94000","","","148000","","","258849","","","542879","","","926722","","","1583713","","","2600000","","ITU estimate.","3114741","","Comisión Nacional de Telecomunicaciones.","3511026","","Comisión Nacional de Comunicaciones","4028238","","Comisión Nacional de Comunicaciones","4572023","","Comisión Nacional de Comunicaciones","5148583","","Comisión Nacional de Comunicaciones","6251020","","Comisión Nacional de Comunicaciones","6519458","","Ente Nacional de Comunicaciones","6855837","","Ente Nacional de Comunicaciones","7251673","","Ente Nacional de Comunicaciones","7842778","","Ente Nacional de Comunicaciones","8473655","","Ente Nacional de Comunicaciones","8793181","","Ente Nacional de Comunicaciones"
"Fixed-broadband subscriptions","Armenia","","","","6","","ITU estimate.","8","","Ministry of Transport and Communications.","10","","Ministry of Transport and Communications.","1000","","Ministry of Transport and Communications.","1990","","ITU estimate.","","","","3900","","ITU estimate.","13799","","Ministry of Transport and Communications","39888","","Ministry of Transport and Communications","93586","","Ministry of Transport and Communications","160573","","ITU estimate","212053","","Ministry of Transport and Communication of Armenia","243058","","Ministry of Transport and Communication of Armenia","272885","","Ministry of Transport and Communication of Armenia","286319","","Ministry of Transport and Communication of Armenia","299170","","Ministry of Transport; Communication and Information Technologies of Armenia","315319","","Ministry of Transport; Communication and Information Technologies of Armenia","347448","","Ministry of Transport; Communication and Information Technologies of Armenia","385704","","Ministry of Transport; Communication and Information Technologies of Armenia"
"Fixed-broadband subscriptions","Aruba","","","","","","","","","","1399","","","6963","","","12274","","","13953","","","15996","","Directorate of Telecommunication Affairs Aruba.","18396","","Directorate of Telecommunication Affairs Aruba.","18800","","ITU estimate.","19217","","Directorate of Telecommunication Affairs Aruba.","","","","","","","19200","","ITU estimate.","19200","","ITU estimate.","19000","","ITU estimate.","","","","","","","","","","","",""
"Fixed-broadband subscriptions","Ascension","","","","","","","","","","","","","57","","","77","","","144","","","280","","Cable & Wireless plc. (C&W).","298","","Cable & Wireless plc. (C&W).","296","","Cable & Wireless South Atlantic Ltd","342","","Cable & Wireless South Atlantic Ltd","353","","Cable & Wireless South Atlantic Ltd","324","","Sure South Atlantic Ltd","","","","315","","Sure South Atlantic Ltd","","","","382","","Sure South Atlantic Ltd","","","","","","","","",""
"Fixed-broadband subscriptions","Australia","","","","122800","","ACCC.","258100","","ACCC.","516800","","ACCC.","1012000","March.","ITU estimate based on ABS Household Use of Information Technology Survey.","2016000","March.","ITU estimate based on ABS Household Use of Information Technology Survey.","3900000","March.","ITU estimate based on ABS Household Use of Information Technology Survey.","","","","5315000","Internet Activity Survey; December.","ABS.","5221000","Internet Activity Survey; December.","ABS.","5510000","Internet Activity Survey; December.","ABS.","5552000","Internet Activity Survey; June.","ABS.","5735000","Internet Activity Survey; June.","ABS.","5981000","Internet Activity Survey; June","Department of Communications","6536000","Internet Activity Survey; June 2014","ABS","6828000","Internet activity survey December 2015","Department of Communications and the Arts","7374000","Data is equal to i4213dsl + i4213cab + i4213ftth/b + i4213ob + i271s + i271fw","Department of Communications and the Arts","7922000","Calendar year data.; ; ; Source: Australian Bureau of Statistics (2017); 8153.0 Internet Activity; Australia; December 2017.; ; http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/8153.0December%202017?OpenDocument","Department of Infrastructure; Transport; Regional Development and Communications","8427316","Estimated calendar year data.; ; Source: Estimated using ACCC Internet Activity Record Keeping Rule (RKR); June 2018 and Australian Bureau of Statistics (2018); 8153.0 Internet Activity; Australia; June 2018.;","Department of Infrastructure; Transport; Regional Development and Communications","8752830","Estimated calendar year data.; ; Source: Estimated using ACCC Internet Activity Report; December 2019 and ACCC NBN Wholesale Market Indicators Report; December 2019.","Department of Infrastructure; Transport; Regional Development and Communications"
"Fixed-broadband subscriptions","Austria","190500","","Federal Ministry for Science and Transport.","320600","","Federal Ministry for Science and Transport.","451000","","Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).","601000","","Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).","870000","","Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).","1174000","","Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).","1432000","","OECD.","1622000","","Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH)","1729000","","Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH)","1878524","","Rundfunk und Telekom Regulierungs-GmbH","2050400","","Rundfunk und Telekom Regulierungs-GmbH","2097700","","Rundfunk und Telekom Regulierungs-GmbH","2130200","","Austrian Regulatory Authority for Broadcasting and Telecommunications","2232500","","Austrian Regulatory Authority for Broadcasting and Telecommunications","2359000","","Austrian Regulatory Authority for Broadcasting and Telecommunications","2455500","","Austrian Regulatory Authority for Broadcasting and Telecommunications","2523300","","RTR GmbH","2511200","","RTR GmbH","2521100","","RTR GmbH","2519000","","RTR GmbH"
"Fixed-broadband subscriptions","Azerbaijan","","","","","","","1000","","Ministry of Communications and Information Technologies.","","","","","","","2184","","Ministry of Communications and Information Technologies.","3955","","Ministry of Communications and Information Technologies.","14600","","Ministry of Communications and Information Technologies.","60000","","Ministry of Communications and Information Technologies.","100000","","Ministry of Communications and Information Technologies.","475295","","Ministry of Communications and Information Technologies","973869","","Ministry of Communications and Information Technologies (MC&IT)","1369594","","Ministry of Communications and Information Technologies (MC&IT)","1712177","","Ministry of Communications and Information Technologies (MC&IT)","1898070","","Ministry of Communications and High Technologies (MC&HT)","1899456","","Ministry of Communications and High Technologies (MC&HT)","1803662","","Ministry of Transport; Communications and High Technologies","1805214","","Ministry of Transport; Communications and High Technologies","1890913","","Ministry of Transport; Communications and High Technologies","1943013","","Ministry of Transport; Communications and High Technologies"
