"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Fixed-telephone subscriptions","Afghanistan","29000","","ITU estimate.","29000","","Ministry of Communications.","33050","","ITU estimate.","36700","","Ministry of Communications.","","","","","","","","","","","","","","","","5130","","Ministry of Communications & Information Technology","16620","","Ministry of Communications & Information Technology","13509","","Ministry of Communications & Information Technology","90017","","ITU research based on ATRA website.","95769","","Afghanistan Telecommunication Regulatory Authority; Ministry of Communications & Information Technology","101931","","Afghanistan Telecommunication Regulatory Authority; Ministry of Communications & Information Technology","110000","","Afghanistan Telecommunication Regulatory Authority; Ministry of Communications & Information Technology","114192","","Afghanistan Telecom Regulatory Authority","118769","","Afghanistan Telecom Regulatory Authority","127794","","Afghanistan Telecom Regulatory Authority","134636","","Afghanistan Telecom Regulatory Authority"
"Fixed-telephone subscriptions","Albania","152687","","Ministry of Transport and Telecommunications.","197496","","Ministry of Transport and Telecommunications.","220000","","Ministry of Transport and Telecommunications.","255000","","Ministry of Transport and Telecommunications.","274557","","Ministry of Transport and Telecommunications.","278973","","Ministry of Transport and Telecommunications.","256000","","Ministry of Transport and Telecommunications.","300000","","Ministry of Transport and Telecommunications.","343591","","Ministry of Transport and Telecommunications.","363000","","Ministry of Transport and Telecommunications.","333066","","Minister for Innovation and ICT","338844","","National Agency of Information Society","312000","","Minister for Innovation and ICT","281200","","Ministry of Innovation and Public Administration/National Agency for Information Society","235734","","Minister of State for the Innovation and Public Administration","226718","","Minister of State for the Innovation and Public Administration","248640","","AKEP","246720","","Ministry of Infrastructure and Energy","248631","","Ministry of Infrastructure and Energy","242859","","Ministry of Infrastructure and Energy"
"Fixed-telephone subscriptions","Algeria","1761327","","","1880000","","","1950000","","","2079464","","","2486720","","","2572000","","","2841297","","","3068409","","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","3069140","","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","2576165","","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","2922731","","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","3059336","Includes 518'064 WLL subscriptions.","Autorité de Régulation de la Poste et des Télecommunications (ARPT).","3289363","Includes 533'233 WLL subscriptions. Source: Algérie Telecom.","Ministère de la Poste et des Technologies de l'Information et de la Communication","3132829","Includes 414'595 WLL subscriptions.","Ministère de la Poste et des Technologies de l'Information et de la Communication","3098787","Includes 272'960 WLL subscriptions.","Ministère de la Poste et des Technologies de l'Information et de la Communication","3267592","Includes 254132 WLL ; subscriptions. Source: ARPT/Algérie Télécom","Ministère de la  Poste et des Technologies de l'Information et de la Communication","3404709","includes; 229950 WLL subscriptions; Source: ARPT.","Ministère de la Poste; des Télécommunications; des Technologies et du Numérique","4100982","Decrease in WLL.; La modification est dû à  l’ajout des abonnés de certaines technologies inclus dans la définition de l’indicateur de l’UIT;   qui n’étaient pas prise en considération auparavant; notamment : FTTX; Tell@+ /IP-Centrex et  VoLTE.","Ministère de la Poste et des Télécommunications","4200919","La modification est dû à  l’ajout des  données relatives à certaines technologies inclus dans la définition de l’indicateur de l’UIT;  notamment : LS; VoiP et  VoLTE.","Ministère de la Poste et des Télécommunications","4635217","","Ministère de la Poste et des Télécommunications"
"Fixed-telephone subscriptions","American Samoa","10252","","ITU estimate.","12587","","ITU estimate.","14053","","American Samoa Telecommunications Authority.","10713","","American Samoa Telecommunications Authority.","10354","","American Samoa Telecommunications Authority.","10400","","ITU estimate.","10400","","ITU estimate.","10400","","ITU estimate.","10400","","ITU estimate.","10400","","ITU estimate.","10400","","ITU estimate.","","","","10000","","ITU estimate.","10000","","ITU estimate.","9900","","ITU estimate.","10000","","ITU estimate.","","","","","","","","","","","",""
"Fixed-telephone subscriptions","Andorra","34215","","Servei de Telecomunicacions d'Andorra (STA). estimate.","34505","Analogue lines + ISDN lines.","Servei de Telecomunicacions d'Andorra (STA). estimate.","34922","Analogue lines + ISDN lines.","Servei de Telecomunicacions d'Andorra (STA). estimate.","35171","Analogue lines + ISDN lines.","Servei de Telecomunicacions d'Andorra (STA). estimate.","35040","","Servei de Telecomunicacions d'Andorra (STA). estimate.","35444","","Servei de Telecomunicacions d'Andorra (STA). estimate.","36507","","Servei de Telecomunicacions d'Andorra (STA). estimate.","37153","","Servei de Telecomunicacions d'Andorra (STA).","37375","","Servei de Telecomunicacions d'Andorra (STA).","37882","","Servei de Telecomunicacions d'Andorra (STA).","38171","","Servei de Telecomunicacions d'Andorra","38401","","Servei de Telecomunicacions d'Andorra","38320","","Servei de Telecomunicacions d'Andorra","38572","","Servei de Telecomunicacions d'Andorra","38237","","Servei de Telecomunicacions d'Andorra","38850","","Andorra Telecom SAU","38694","","Andorra Telecom SAU","38411","","Andorra Telecom SAU","39375","","Andorra Telecom SAU","39657","","Andorra Telecom SAU"
"Fixed-telephone subscriptions","Angola","64900","","Instituto Angolano das Comunicações.","76800","","Instituto Angolano das Comunicações.","80200","","Instituto Angolano das Comunicações.","85043","","Instituto Angolano das Comunicações.","94280","","Instituto Angolano das Comunicações.","96760","","Instituto Angolano das Comunicações.","98165","June.","Instituto Angolano das Comunicações.","94294","","Instituto Angolano das Comunicações.","114296","","Instituto Angolano das Comunicações.","303179","","Instituto Angolano das Comunicações.","281122","","ITU estimate.","159485","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","208345","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","214950","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","287416","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","284925","","Angolan Institute of Communications","304493","","Angolan Institute of Communications","161070","","Angolan Institute of Communications","171858","","Angolan Institute of Communications","124726","","Angolan Institute of Communications"
"Fixed-telephone subscriptions","Anguilla","6163","","Cable and Wireless (W.I.) Ltd  (C&W).","6201","","Cable and Wireless (W.I.) Ltd  (C&W).","5800","","Public utilities commission","5442","","Cable and Wireless (W.I.) Ltd  (C&W).","5676","","Cable and Wireless (W.I.) Ltd  (C&W).","5520","","Cable and Wireless (W.I.) Ltd  (C&W).","5825","","Cable and Wireless (W.I.) Ltd  (C&W).","6020","","Ministry of Infrastructure; Communication & Utilities","6256","","Ministry of Infrastructure; Communication & Utilities","6268","","Ministry of Infrastructure; Communication & Utilities","6282","","Public Utilities Commission","6243","","public utilities commission","6000","","ITU estimate.","6000","","ITU estimate.","5900","","ITU estimate.","6000","","ITU estimate.","","","","","","","","","","","",""
"Fixed-telephone subscriptions","Antigua and Barbuda","38300","","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","37264","Data at 31st December 2001.","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","38046","","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","38000","","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","38000","","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","36480","","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","37500","","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","37900","","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","38000","","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.","37350","","Ministry of Information; Broadcasting; Telecommunications; Science & Technology.","36322","","Telecom Divison/Ministry of Information; Broadcasting; Telecommunications; Science & Technology","35484","","Telecom Divison/Ministry of Information; Broadcasting; Telecommunications; Science & Technology","33159","","Telecom Divison/Ministry of Telecommunications; Science & Technology","33133","","Telecom Divison/Ministry of Telecommunications; Science & Technology","19915","","Ministry of Information; Broadcasting; Telecommunications; and Information Technology","20000","","ITU estimate.","22504","","Ministry of Information; Broadcasting; Telecommunications and Information Technology","24000","","ITU estimate.","","","","","",""
"Fixed-telephone subscriptions","Argentina","7894205","Only refers to Telefónica de Argentina S.A. and Telecom Argentina S.A.","Comisión Nacional de Comunicaciones.","8131435","Only refers to Telefónica de Argentina S.A. and Telecom Argentina S.A.","Comisión Nacional de Comunicaciones.","7708568","All licensees are included.","Comisión Nacional de Comunicaciones.","8603869","All licensees are included.","Comisión Nacional de Comunicaciones.","8760566","All licensees are included.","Comisión Nacional de Comunicaciones.","9441673","All licensees are included.","Comisión Nacional de Comunicaciones.","9459794","All licensees are included.","Comisión Nacional de Comunicaciones.","9500000","Estimate based on two major telecommunication operators; representing about 85-90% of total.","Comisión Nacional de Comunicaciones.","9742833","Represents about 99% of total.","Comisión Nacional de Comunicaciones.","9768135","","Comisión Nacional de Comunicaciones","9914208","","Comisión Nacional de Comunicaciones","9722525","","Comisión Nacional de Comunicaciones","9455639","","Comisión Nacional de Comunicaciones","9662084","","Comisión Nacional de Comunicaciones","9822465","","Ente Nacional de Comunicaciones","10073125","preliminary","Ente Nacional de Comunicaciones","10164849","","Ente Nacional de Comunicaciones","9744368","","Ente Nacional de Comunicaciones","9764014","","Ente Nacional de Comunicaciones","7757243","","Ente Nacional de Comunicaciones"
"Fixed-telephone subscriptions","Armenia","533387","","Ministry of Transport and Communications.","531456","","Ministry of Transport and Communications.","542846","","Ministry of Transport and Communications.","563679","","Ministry of Transport and Communications.","578973","","Ministry of Transport and Communications.","594404","","Ministry of Transport and Communications.","603900","","Ministry of Transport and Communications.","624700","","RCC.","626600","","Ministry of Transport and Communications","599900","","Ministry of Transport and Communications","592300","","Ministry of Transport and Communications","586943","","Ministry of Transport and Communication of Armenia","583685","","Ministry of Transport and Communication of Armenia","578450","","Ministry of Transport and Communication of Armenia","572772","","Ministry of Transport and Communication of Armenia","551366","","Ministry of Transport and Communication of Armenia","531624","","Ministry of Transport; Communication and Information Technologies of Armenia","501013","","Ministry of Transport; Communication and Information Technologies of Armenia","477932","","Ministry of Transport; Communication and Information Technologies of Armenia","451571","","Ministry of Transport; Communication and Information Technologies of Armenia"
