"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Fixed broadband subscriptions per 100 inhabitants","Afghanistan","","","","","","","","","","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.01","","","","","","0.00","","","0.00","","","0.00","","","0.02","","","0.02","","","0.03","","","0.04","","","0.05","",""
"Fixed broadband subscriptions per 100 inhabitants","Albania","","","","","","","","","","","","","","","","0.01","","","","","","0.33","","","2.13","","","3.09","","","3.58","","","4.38","","","5.49","","","6.29","","","7.18","","","8.40","","","9.23","","","10.53","","","12.56","","","15.14","",""
"Fixed broadband subscriptions per 100 inhabitants","Algeria","","","","","","","","","","0.06","","","0.11","","","0.41","","","0.51","","","0.84","","","1.40","","","2.32","","","2.50","","","2.68","","","3.09","","","3.36","","","4.11","","","5.71","","","7.05","","","7.76","","","7.26","","","8.32","",""
"Fixed broadband subscriptions per 100 inhabitants","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fixed broadband subscriptions per 100 inhabitants","Andorra","","","","","","","1.64","","","4.92","","","8.24","","","13.11","","","18.05","","","22.41","","","24.65","","","27.16","","","29.01","","","30.76","","","32.64","","","34.34","","","36.32","","","39.35","","","42.03","","","44.52","","","46.31","","","47.13","",""
"Fixed broadband subscriptions per 100 inhabitants","Angola","","","","","","","","","","","","","","","","","","","0.04","","","0.06","","","0.07","","","0.07","","","0.06","","","0.07","","","0.08","","","0.09","","","0.33","","","0.55","","","0.29","","","0.33","","","0.36","","","0.37","",""
"Fixed broadband subscriptions per 100 inhabitants","Anguilla","","","","10.67","","","11.83","","","13.73","","","11.90","","","17.81","","","22.42","","","25.65","","","27.96","","","28.31","","","28.20","","","28.98","","","29.72","","","30.82","","","31.18","","","35.02","","","","","","","","","","","","","",""
"Fixed broadband subscriptions per 100 inhabitants","Antigua and Barbuda","","","","","","","","","","","","","2.07","","","7.12","","","1.86","","","2.70","","","5.84","","","18.46","","","8.09","","","6.72","","","14.46","","","17.10","","","11.62","","","10.69","","","9.80","","","9.43","","","","","","","",""
"Fixed broadband subscriptions per 100 inhabitants","Argentina","","","","0.25","","","0.39","","","0.68","","","1.41","","","2.38","","","4.03","","","6.55","","","7.77","","","8.67","","","9.85","","","11.06","","","12.33","","","14.81","","","15.29","","","15.92","","","16.67","","","17.85","","","19.10","","","19.64","",""
"Fixed broadband subscriptions per 100 inhabitants","Armenia","","","","0.00","","","0.00","","","0.00","","","0.03","","","0.07","","","","","","0.13","","","0.47","","","1.38","","","3.25","","","5.58","","","7.35","","","8.39","","","9.37","","","9.79","","","10.19","","","10.71","","","11.77","","","13.04","",""
