"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Fixed-telephone subscriptions 100 inhabitants","Afghanistan","0.14","","","0.13","","","0.15","","","0.15","","","","","","","","","","","","","","","","","","0.02","","","0.06","","","0.04","","","0.29","","","0.30","","","0.31","","","0.32","","","0.32","","","0.33","","","0.34","","","0.35","",""
"Fixed-telephone subscriptions 100 inhabitants","Albania","4.88","","","6.31","","","7.04","","","8.18","","","8.84","","","9.04","","","8.36","","","9.89","","","11.44","","","12.21","","","11.30","","","11.57","","","10.71","","","9.68","","","8.14","","","7.84","","","8.61","","","8.55","","","8.62","","","8.43","",""
"Fixed-telephone subscriptions 100 inhabitants","Algeria","5.67","","","5.98","","","6.12","","","6.45","","","7.61","","","7.76","","","8.45","","","8.98","","","8.84","","","7.29","","","8.12","","","8.34","","","8.80","","","8.21","","","7.96","","","8.22","","","8.40","","","9.91","","","9.95","","","10.77","",""
"Fixed-telephone subscriptions 100 inhabitants","American Samoa","17.73","","","21.52","","","23.79","","","18.00","","","17.35","","","17.46","","","17.60","","","17.82","","","18.09","","","18.35","","","18.55","","","","","","17.96","","","17.95","","","17.74","","","17.92","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Andorra","52.32","","","51.24","","","49.85","","","48.06","","","45.96","","","44.94","","","45.07","","","44.93","","","44.57","","","44.85","","","45.20","","","45.85","","","46.49","","","47.75","","","48.27","","","49.80","","","50.06","","","49.88","","","51.13","","","51.41","",""
"Fixed-telephone subscriptions 100 inhabitants","Angola","0.40","","","0.45","","","0.46","","","0.47","","","0.50","","","0.50","","","0.49","","","0.45","","","0.53","","","1.35","","","1.20","","","0.66","","","0.83","","","0.83","","","1.07","","","1.02","","","1.06","","","0.54","","","0.56","","","0.39","",""
"Fixed-telephone subscriptions 100 inhabitants","Anguilla","54.77","","","53.85","","","49.32","","","45.35","","","46.40","","","44.33","","","46.01","","","46.78","","","47.89","","","47.28","","","46.75","","","45.84","","","43.49","","","43.00","","","41.81","","","42.02","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Antigua and Barbuda","50.38","","","48.26","","","48.59","","","47.92","","","47.30","","","44.78","","","45.34","","","45.11","","","44.50","","","43.06","","","41.26","","","39.76","","","36.68","","","36.20","","","21.52","","","21.38","","","23.81","","","25.15","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Argentina","21.41","","","21.81","","","20.46","","","22.59","","","22.76","","","24.28","","","24.08","","","23.94","","","24.31","","","24.13","","","24.24","","","23.53","","","22.65","","","22.90","","","23.04","","","23.38","","","23.36","","","22.18","","","22.01","","","17.32","",""
"Fixed-telephone subscriptions 100 inhabitants","Armenia","17.38","","","17.42","","","17.89","","","18.68","","","19.29","","","19.94","","","20.41","","","21.30","","","21.55","","","20.77","","","20.59","","","20.40","","","20.24","","","19.96","","","19.67","","","18.85","","","18.11","","","17.01","","","16.19","","","15.27","",""
"Fixed-telephone subscriptions 100 inhabitants","Aruba","41.94","","","39.97","","","39.09","","","38.54","","ITU estimate.","38.49","","ITU estimate.","38.25","","","38.33","","","38.14","","","37.95","","","36.17","","ITU estimate.","34.46","","","","","","35.10","","ITU estimate.","33.93","","","33.73","","","33.54","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Ascension","46.12","","","49.01","","","","","","50.85","","","50.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fixed-telephone subscriptions 100 inhabitants","Australia","52.92","","","52.41","","","53.60","","","53.30","","","52.16","","","50.15","","","48.43","","","46.66","","","43.92","","","49.23","","","47.96","","","46.91","","","45.72","","","44.51","","","38.95","","","35.52","","","34.95","","","34.41","","","32.93","","","31.03","",""
"Fixed-telephone subscriptions 100 inhabitants","Austria","49.53","","","49.36","","","47.74","","","47.42","","","46.50","","","45.30","","","43.51","","","40.98","","","39.38","","","38.85","","","40.40","","","40.08","","","39.75","","","38.97","","","40.85","","","41.60","","","40.78","","","42.08","","","42.01","","","41.56","",""
