"Indicator","Country","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Active mobile-broadband subscriptions per 100 inhabitants","Afghanistan","0.00","","","0.00","","","","","","0.00","","","","","","","","","1.18","","","3.00","","","5.55","","","13.20","","","15.70","","","18.82","","","19.22","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Albania","","","","","","","0.00","","","0.00","","","9.67","","","22.28","","","30.86","","","33.95","","","44.88","","","58.42","","","70.42","","","62.79","","","62.10","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Algeria","","","","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","21.33","","","41.08","","","65.79","","","78.26","","","81.65","","","95.99","",""
"Active mobile-broadband subscriptions per 100 inhabitants","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Andorra","","","","","","","","","","0.00","","","","","","","","","33.77","","","37.01","","","43.70","","","50.46","","","55.61","","","60.44","","","","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Angola","","","","","","","0.53","","","1.16","","","1.69","","","6.64","","","9.99","","","13.48","","","14.40","","","13.96","","","14.60","","","18.89","","","21.18","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Anguilla","","","","","","","","","","0.00","","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Antigua and Barbuda","","","","0.00","","","0.00","","","0.00","","","0.00","","","12.96","","","29.88","","","32.41","","","33.13","","","43.37","","","50.30","","","","","","","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Argentina","","","","","","","","","","4.94","","","17.00","","","16.13","","","31.52","","","52.58","","","76.73","","","","","","80.65","","","","","","","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Armenia","","","","","","","6.44","","","12.25","","","27.88","","","29.77","","","31.86","","","35.04","","","41.18","","","54.90","","","66.47","","","75.87","","","82.67","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Aruba","","","","","","","","","","0.00","","","","","","20.48","","ITU estimate.","","","","","","","","","","","","","","","","","","","","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Ascension","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Australia","","","","","","","","","","56.09","","","80.35","","","96.29","","","110.92","","","114.54","","","126.44","","","130.01","","","134.15","","","129.60","","","129.92","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Austria","7.30","","","11.63","","","29.33","","","32.82","","","45.65","","","55.84","","","63.88","","","66.50","","","69.50","","","86.72","","","97.25","","","103.37","","","107.38","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Azerbaijan","","","","0.00","","","0.22","","","5.07","","","7.55","","","28.66","","","44.06","","","61.52","","","60.86","","","56.15","","","56.68","","","59.59","","","62.06","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Bahamas","","","","","","","0.00","","","0.00","","","0.00","","","2.75","","ITU estimate.","9.53","","","41.26","","","48.82","","","53.10","","","68.26","","","81.53","","","93.02","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Bahrain","0.51","","","1.48","","","1.59","","","3.67","","","9.89","","","83.16","Break in comparability: including all categories of mobile broadband.","","111.40","","","126.95","","","130.62","","","156.98","","","145.89","","","129.57","","","122.58","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Bangladesh","","","","","","","0.00","","","0.03","","","0.17","","","0.20","","","1.94","","","13.73","","","16.12","","","27.92","","","31.68","","","41.27","","","52.79","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Barbados","","","","0.00","","","0.00","","","0.00","","","0.00","","","35.25","","","41.51","","","43.89","","","55.28","","","45.17","","","45.37","","","59.94","","","42.23","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Belarus","","","","","","","","","","12.74","","","19.19","","","33.23","","","45.62","","","54.25","","","60.65","","","67.78","","","76.37","","","86.34","","","89.47","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Belgium","","","","3.42","","","5.66","","","9.51","","","18.90","","","32.82","","","51.28","","","57.39","","","61.48","","","65.88","","","75.21","","","75.78","","","86.98","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Belize","","","","","","","0.00","","","0.00","","","","","","0.12","","","1.97","","","9.76","","","11.68","","","50.33","","","38.02","","","43.00","","","43.90","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Benin","","","","","","","0.00","","","0.00","","","0.00","","","0.00","","","1.53","","","2.93","","","4.36","","","8.11","","","12.05","","","19.80","","","21.46","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Bermuda","","","","","","","","","","0.00","","","","","","","","","","","","7.88","","","","","","6.66","","","11.09","","","","","","","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Bhutan","","","","","","","0.06","","","0.29","","","1.01","","","2.66","","","16.57","","","29.99","","","49.87","","","74.08","","","94.65","","","101.64","","","99.90","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Bolivia (Plurinational State of)","0.35","","","0.59","","","0.75","","","1.04","","","2.78","","","6.63","","","14.05","","","12.32","","","34.33","","","55.84","","","75.52","","","79.87","","","83.03","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Bosnia and Herzegovina","","","","","","","1.65","","","5.51","","","9.46","","","11.29","","","24.08","","","30.50","","","37.30","","","42.07","","","45.37","","","55.38","","","47.27","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Botswana","","","","","","","","","","1.51","","","","","","","","","42.59","","","48.55","","","65.52","","","65.25","","","69.52","","","77.60","","","88.44","",""
"Active mobile-broadband subscriptions per 100 inhabitants","Brazil","","","","1.81","","","4.47","","","10.54","","","20.82","","","33.09","","","51.29","","","77.87","","","88.27","","","89.11","","","90.87","","","88.11","","","88.16","",""
