"Indicator","Country","2000_value","2000_notes","2000_source","2001_value","2001_notes","2001_source","2002_value","2002_notes","2002_source","2003_value","2003_notes","2003_source","2004_value","2004_notes","2004_source","2005_value","2005_notes","2005_source","2006_value","2006_notes","2006_source","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Mobile-cellular subscriptions per 100 inhabitants","Afghanistan","0.00","","","0.00","","","0.11","","","0.84","","","2.43","","","4.68","","","9.53","","","17.23","","","28.49","","","36.98","","","35.00","","","45.81","","","49.23","","","52.08","","","55.16","","","57.27","","","61.05","","","65.93","","","59.12","","","59.36","",""
"Mobile-cellular subscriptions per 100 inhabitants","Albania","0.95","","","12.55","","","27.22","","","35.28","","","40.57","","","49.57","","","62.35","","","76.55","","","61.93","","","82.87","","","91.33","","","105.85","","","120.11","","","126.94","","","116.00","","","117.66","","","116.74","","","125.71","","","94.18","","","91.29","",""
"Mobile-cellular subscriptions per 100 inhabitants","Algeria","0.28","","","0.32","","","1.41","","","4.48","","","14.93","","","41.21","","","62.42","","","80.67","","","77.83","","","92.63","","","91.11","","","97.15","","","100.38","","","103.61","","","111.24","","","108.81","","","116.00","","","110.77","","","111.66","","","109.36","",""
"Mobile-cellular subscriptions per 100 inhabitants","American Samoa","3.45","","","3.69","","","3.45","","","3.53","","","3.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Andorra","36.00","","","43.70","","","46.81","","","70.91","","","76.55","","","81.86","","","85.20","","","76.80","","","76.56","","","76.42","","","77.56","","","77.67","","","77.48","","","79.15","","","83.62","","","91.44","","","98.49","","","104.33","","","107.28","","","113.96","",""
"Mobile-cellular subscriptions per 100 inhabitants","Angola","0.16","","","0.44","","","0.80","","","1.93","","","3.94","","","8.29","","","15.16","","","23.73","","","31.22","","","36.02","","","40.26","","","49.85","","","50.92","","","51.07","","","52.16","","","49.79","","","45.08","","","44.69","","","43.13","","","46.60","",""
"Mobile-cellular subscriptions per 100 inhabitants","Anguilla","19.22","","","15.40","","","25.87","","","36.89","","","59.09","","","104.88","","","135.46","","","182.83","","","202.74","","","187.21","","","191.21","","","191.04","","","189.20","","ITU estimate.","186.33","","","184.24","","","182.09","","","","","","","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Antigua and Barbuda","28.94","","","32.38","","","48.80","","","58.13","","ITU estimate.","67.22","","","105.57","","","133.22","","","133.75","","","159.95","","","155.54","","","190.81","","","197.20","","","140.89","","","124.96","","","129.69","","","188.10","","","190.42","","","192.82","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Argentina","17.60","","","18.09","","","17.43","","","20.59","","","35.10","","","56.97","","","80.20","","","101.81","","","116.04","","","129.64","","","139.58","","","146.96","","","154.06","","","159.64","","","143.62","","","143.57","","","146.45","","","140.88","","","132.09","","","125.84","",""
"Mobile-cellular subscriptions per 100 inhabitants","Armenia","0.57","","","0.84","","","2.35","","","3.79","","","6.78","","","10.67","","","42.58","","","63.98","","","49.59","","","75.88","","","134.34","","","111.63","","","115.21","","","115.48","","","118.77","","","118.42","","","116.98","","","118.46","","","121.26","","","122.35","",""
"Mobile-cellular subscriptions per 100 inhabitants","Aruba","16.51","","","57.05","","","65.06","","","72.10","","","99.65","","","103.38","","","108.13","","","112.21","","","119.19","","","126.16","","ITU estimate.","129.64","","ITU estimate.","","","","131.63","","ITU estimate.","134.55","","","134.62","","","135.13","","","","","","","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Ascension","0.00","","","0.00","","","","","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobile-cellular subscriptions per 100 inhabitants","Australia","45.08","","","58.00","","","65.30","","","73.11","","","82.90","","","91.29","","","96.27","","","101.64","","","103.69","","","102.06","","","101.56","","","105.55","","","106.26","","","107.25","","","106.20","","","107.68","","","109.43","","","108.44","","","111.01","","","110.62","",""
"Mobile-cellular subscriptions per 100 inhabitants","Austria","75.81","","","80.78","","","82.81","","","88.97","","","97.26","","","104.98","","","112.02","","","119.22","","","129.66","","","136.56","","","145.55","","","154.05","","","159.82","","","155.12","","","150.35","","","155.22","","","126.66","","","123.12","","","123.54","","","119.78","",""
"Mobile-cellular subscriptions per 100 inhabitants","Azerbaijan","5.18","","","8.91","","","9.60","","","12.64","","","17.24","","","26.26","","","38.51","","","51.80","","","74.22","","","86.92","","","100.75","","","110.65","","","109.29","","","107.93","","","111.01","","","111.17","","","104.65","","","102.86","","","103.92","","","106.99","",""
