"Indicator","Country","2007_value","2007_notes","2007_source","2008_value","2008_notes","2008_source","2009_value","2009_notes","2009_source","2010_value","2010_notes","2010_source","2011_value","2011_notes","2011_source","2012_value","2012_notes","2012_source","2013_value","2013_notes","2013_source","2014_value","2014_notes","2014_source","2015_value","2015_notes","2015_source","2016_value","2016_notes","2016_source","2017_value","2017_notes","2017_source","2018_value","2018_notes","2018_source","2019_value","2019_notes","2019_source"
"Active mobile-broadband subscriptions","Afghanistan","0","","ITU estimate.","0","","ITU estimate.","","","","0","","ITU estimate.","","","","","","","380706","","Afghanistan Telecommunication Regulatory Authority ; Ministry of Communications & Information Technology","1000000","","Afghanistan Telecommunication Regulatory Authority ; Ministry of Communications & Information Technology","1910178","","Afghanistan Telecommunication Regulatory Authority ; Ministry of Communications & Information Technology","4669379","","Afghanistan Telecom Regulatory Authority","5700205","","Afghanistan Telecom Regulatory Authority","6997208","","Afghanistan Telecom Regulatory Authority","7309797","","Afghanistan Telecom Regulatory Authority"
"Active mobile-broadband subscriptions","Albania","","","","","","","0","","ITU estimate.","0","","ITU estimate.","283249","","National Agency of Information Society","649405","","National Agency on Information Society","896058","Break in comparability: three-month activity period applied.","National Agency on Information Society","983417","","National Agency on Information Society","1297281","","Minister of State for the Innovation and Public Administration","1686354","","AKEP","2030978","","Ministry of Infrastructure and Energy","1809996","","Ministry of Infrastructure and Energy","1789158","","Ministry of Infrastructure and Energy"
"Active mobile-broadband subscriptions","Algeria","","","","","","","0","","ITU estimate.","0","","ITU estimate.","0","","ITU estimate.","0","","","0","","","8302400","Source: ARPT.","Ministère de la Poste et des Technologies de l'Information et de la Communication","16319028","Source: ARPT.","Ministère de la  Poste et des Technologies de l'Information et de la Communication","26679543","Source : ARPT.","Ministère de la Poste; des Télécommunications; des Technologies et du Numérique","32392293","Source : ARPT.","Ministère de la Poste et des Télécommunications","34480819","Correction : L’Ecart est dû après l'audit régulier de l'ARPCE","Ministère de la Poste et des Télécommunications","41325252","","Ministère de la Poste et des Télécommunications"
"Active mobile-broadband subscriptions","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Active mobile-broadband subscriptions","Andorra","","","","","","","","","","0","","ITU estimate.","","","","","","","27280","","ITU estimate.","29319","","Servei de Telecomunicacions d'Andorra","34094","","Andorra Telecom SAU","39001","","Andorra Telecom SAU","42823","","Andorra Telecom SAU","46544","","Andorra Telecom SAU","","",""
"Active mobile-broadband subscriptions","Angola","","","","","","","120000","","ITU estimate.","270000","","ITU estimate.","408222","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","1666090","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","2599786","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","3632630","","ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY","4015303","","Angolan Institute of Communications","4025307","","Angolan Institute of Communications","4354043","","Angolan Institute of Communications","5820154","","Angolan Institute of Communications","6740418","","Angolan Institute of Communications"
"Active mobile-broadband subscriptions","Anguilla","","","","","","","","","","0","","Public Utilities Commission","0","","Public Utilities Commission","0","","Public Utilities Commission","","","","","","","","","","","","","","","","","","","","",""
"Active mobile-broadband subscriptions","Antigua and Barbuda","","","","0","","ITU.","0","","ITU.","0","","ITU.","0","","ITU.","11720","","Telecom Divison/Ministry of Telecommunications; Science & Technology","27348","","Telecoms Divison/Ministry of Information; Broadcasting; Telecommunications; & Information Technology","30000","","ITU estimate.","31000","","ITU estimate.","41000","","ITU estimate.","48000","","ITU estimate.","","","","","",""
"Active mobile-broadband subscriptions","Argentina","","","","","","","","","","2021902","","ITU research based on INDEC.","7025222","USB modems and Blackberries only.","Comisión Nacional de Comunicaciones","6735983","USB modems and Blackberries only.","Comisión Nacional de Comunicaciones","13298740","Break in comparability: from this year incl. mobile-broadband subscriptions through 3G phones.","ITU estimate.","22420000","","ITU estimate.","33051635","Preliminary.","Ente Nacional de Comunicaciones","","","Ente Nacional de Comunicaciones","35436000","","Ente Nacional de Comunicaciones","","","Ente Nacional de Comunicaciones","","","Ente Nacional de Comunicaciones"
"Active mobile-broadband subscriptions","Armenia","","","","","","","186062","","Ministry of Transport and Communications","352462","","Ministry of Transport and Communications","801891","","Ministry of Transport and Communications","858524","","Ministry of Transport and Communications","923284","","Ministry of Transport and Communication of Armenia","1020582","","Ministry of Transport and Communication of Armenia","1204602","","Ministry of Transport and Communication of Armenia","1611919","","Ministry of Transport; Communication and Information Technologies of Armenia","1957546","","Ministry of Transport; Communication and Information Technologies of Armenia","2239467","","Ministry of Transport; Communication and Information Technologies of Armenia","2445149","","Ministry of Transport; Communication and Information Technologies of Armenia"
"Active mobile-broadband subscriptions","Aruba","","","","","","","","","","0","","ITU estimate.","","","","21000","","ITU estimate based on GSMA","","","","","","","","","","","","","","","","","","","","",""
"Active mobile-broadband subscriptions","Ascension","0","","Cable & Wireless","0","","Cable & Wireless","0","","","0","","","0","C&W SA Ltd","Cable & Wireless South Atlantic Ltd","0","","","0","","","0","","Sure South Atlantic Ltd","0","","Sure South Atlantic Ltd","0","","Sure South Atlantic Ltd","","","","","","","","",""
