Country,2000-2005,2006-2010,2011-2015,2016-2019,
Afghanistan,210,800,2891.75,13416.25,
Albania,272,67884.75,184337.6,342032.5,
Algeria,63000,532007.8,1456908,3179898.75,
American Samoa,0,0,0,0,
Andorra,5343,20251.4,27973.2,34698.75,
Angola,0,13020,59986.4,102568,
Anguilla,1588.4,3466.8,4349.4,0,
Antigua and Barbuda,3731.5,6385.2,11094.2,9130.5,
Argentina,394090,2967543.6,5869384.2,8090321.75,
Armenia,602.8,37793.25,234977.6,336910.25,
Aruba,6878.666667,17272.4,19133.33333,0,
Ascension,67,272,330.6666667,382,
Australia,785140,4986500,6126400,8119036.5,
Austria,601183.3333,1742384.8,2254980,2518650,
Azerbaijan,1592,130770,1570633.2,1860700.5,
Bahamas,9761,23776.4,64820.4,83874.75,
Bahrain,10456.2,98984.8,285515.4,173464,
Bangladesh,0,206244.5,2116079.4,7507821.25,
Barbados,29630.33333,49728.8,70663,93092.5,
Belarus,614.25,683625.2,2600719.2,3161800.75,
Belgium,1048850,2938022.8,3839387.2,4435734.75,
Belize,2929.666667,8005.4,11370,22909.5,
Benin,79.75,11345.4,48091,25744.75,
Bermuda,18487,33299.4,34943.66667,22802.5,
Bhutan,0,4704.333333,20666.6,13193,
Bolivia (Plurinational State of),7691.5,64592.4,139616.4,479638.5,
Bosnia and Herzegovina,3691.166667,199233.2,518628,706267,
Botswana,1600,7243.6,26617.2,45207.5,
Brazil,1419919.667,9644851.6,21552832.4,29979036.5,
British Virgin Islands,0,7284.5,6794.2,5312,
Brunei Darussalam,4575.8,15840,27055,45209.75,
Bulgaria,86060,796011.6,1421104.8,1853247.5,
Burkina Faso,183.25,8873,11223,12644.5,
Burundi,0,224,1440.8,3746.25,
Cabo Verde,610,8014,19606.2,16314.25,
Cambodia,562.25,18722,46799.4,145463.25,
Cameroon,202,1755,15747.4,385970.25,
Canada,4115822,9613745.6,12150066,14257350.75,
Cayman Islands,0,18225.66667,21865.6,27883.5,
Central African Rep.,0,0,1091,615.5,
Chad,0,314,14282,1464.75,
Chile,300423,1437033,2336379.8,3161738.75,
China,12861011.67,86092200,199621600,393362000,
Cocos Keeling Islands,0,0,0,0,
Colombia,94637,1673014,4475755.6,6468098.75,
Comoros,2.5,146.75,1223.2,1497.5,
Congo (Rep. of the),0,187.5,910.25,0,
Cook Islands,42,1117.4,2413,0,
Costa Rica,24178,173436.4,485650.4,780661.5,
Croatia,48600,544411,947495.4,1105680.5,
