Country,2000-2005,2006-2010,2011-2015,2016-2019
Afghanistan,31937.5,10875,82245.2,123847.75
Albania,229785.5,319131.4,278899.2,246712.5
Algeria,2121585.167,2895548.4,3169581.4,4085456.75
American Samoa,11393.16667,10400,9975,0
Andorra,34882.83333,37417.6,38476,39034.25
Angola,82997.16667,178211.2,231024.2,190536.75
Anguilla,5800.333333,6130.2,6028.6,0
Antigua and Barbuda,37681.66667,37414.4,28338.2,23252
Argentina,8423386,9676994,9747167.6,9357618.5
Armenia,557457.5,609480,574643.2,490535
Aruba,37669.33333,37492.2,35250,0
Ascension,639,614.4,578.5,788
Australia,10243333.33,10080800,9816800,8240000
Austria,3885666.667,3389600,3446160,3683968.5
Azerbaijan,940161,1329692.2,1751442,1685794
Bahamas,128178.5,131090.4,130115.6,109881
Bahrain,181851,216824.6,286447.4,277880.5
Bangladesh,717518.6667,1236210.4,972016.2,1093260.75
Barbados,131733,135341.6,143613.6,129068
Belarus,3018824,3775934.4,4427721.8,4488792
Belgium,4928383.167,4717087.8,4575344,4172536.75
Belize,33842.5,32162,24922.6,20713.25
Benin,64863,112794.4,171840.2,66523.75
Bermuda,54757.5,57670.8,45558.5,21117
Bhutan,23042.5,28299.6,25322.8,21510.25
Bolivia (Plurinational State of),584627.3333,757828.6,878116.2,770672.25
Bosnia and Herzegovina,898044,1016413.2,861822.4,756298
Botswana,138641,137221.2,162791.4,142099.25
Brazil,37634039.83,40614697,44034915,38601112.25
British Virgin Islands,13588.16667,14138.2,12093,8991.666667
Brunei Darussalam,83189.16667,80193.2,74604.5,81796.25
Bulgaria,2779153.5,2251840.8,1964003.2,1216143.75
Burkina Faso,69369.33333,131217,123995.6,75944.5
Burundi,23677.66667,30578,22420,22173.75
Cabo Verde,67329.83333,71809.4,66821,62471.25
Cambodia,32720.5,103865.4,430572,126193.5
Cameroon,101555.1667,309958.2,882387.4,923874.75
Canada,20318500,18374005.2,16987374.2,14183380
Cayman Islands,37500,36463.6,35555,34442
Central African Rep.,9480.833333,2245,1023.8,2087
Chad,11872.5,41298.8,26341.6,9389
Chile,3384302.167,3476535.2,3376693.2,3080686.5
China,244061166.7,336379400,262135800,195874750
Cocos Keeling Islands,0,0,0,0
Colombia,7574344.833,7674655.8,7124902.4,7022379.25
Comoros,11862.33333,25178.4,21649,12655.75
Congo (Rep. of the),17121.16667,12241.6,15622.2,17000
Cook Islands,6260.833333,6846.6,7673,6539
Costa Rica,1128764.833,1352783.6,947199.6,765031
Croatia,1828089.833,1856149.8,1661064.6,1381663.5
Cuba,679512.5,1077638.2,1241577.4,1375624.25
Curacao,0,80963,63870.8,58311.25
Cyprus,427499.1667,411725,355781.8,318321.75
Czech Republic,3613210.667,2532508.2,2046158.8,1601200.25
Côte d'Ivoire,272753.5,288012.2,268941.2,292198
Dem. People's Rep. of Korea,876000,1144000,1180000,1180000
