Country,2000-2005,2006-2010,2011-2015,2016-2019
Afghanistan,0.001,0.003,0.009,0.036
Albania,0.009,2.284,6.348,11.863
Algeria,0.191,1.512,3.788,7.598
American Samoa,0,0,0,0
Andorra,6.978,24.255,34.681,45
Angola,0,0.059,0.222,0.337
Anguilla,13.189,26.507,31.142,0
Antigua and Barbuda,4.595,7.389,12.116,9.614
Argentina,1.024,7.375,13.883,18.314
Armenia,0.02,1.31,8.096,11.427
Aruba,6.921,17.044,18.441,0
Ascension,4.385,0,0,0
Australia,3.937,23.197,26.324,32.798
Austria,7.338,20.868,26.327,28.451
Azerbaijan,0.019,1.455,16.676,18.801
Bahamas,3.089,6.901,17.592,21.867
Bahrain,1.262,8.655,21.663,11.483
Bangladesh,0,0.141,1.369,4.673
Barbados,10.761,17.755,24.856,32.498
Belarus,0.006,7.248,27.59,33.457
Belgium,10.03,27.229,34.413,38.739
Belize,1.047,2.605,3.274,6.016
Benin,0.001,0.126,0.477,0.227
Bermuda,27.902,50.594,54.541,36.077
Bhutan,0,0.69,2.897,1.765
Bolivia (Plurinational State of),0.085,0.657,1.317,4.232
Bosnia and Herzegovina,0.098,5.34,14.687,21.152
Botswana,0.089,0.373,1.283,2.03
Brazil,0.773,5.001,10.706,14.361
British Virgin Islands,0,26.595,23.612,17.973
Brunei Darussalam,1.281,4.154,6.672,10.579
Bulgaria,1.119,10.611,19.511,26.204
Burkina Faso,0.001,0.059,0.066,0.065
Burundi,0,0.003,0.015,0.034
Cabo Verde,0.132,1.649,3.837,3.015
Cambodia,0.004,0.133,0.308,0.899
Cameroon,0.001,0.009,0.071,1.55
Canada,13.034,28.795,34.41,38.622
Cayman Islands,0,32.966,36.43,44.244
Central African Rep.,0,0,0.024,0.013
Chad,0,0.003,0.109,0.01
Chile,1.879,8.578,13.267,16.996
China,0.971,6.345,14.323,27.606
Cocos Keeling Islands,0,0,0,0
Colombia,0.224,3.758,9.595,13.118
Comoros,0,0.022,0.163,0.183
Congo (Rep. of the),0,0.004,0.02,0
Cook Islands,0.222,5.983,13.406,0
Costa Rica,0.571,3.847,10.229,15.674
Croatia,1.11,12.529,22.171,26.526
