Country,2000-2005,2006-2010,2011-2015,2016-2019,
Afghanistan,0.144,0.038,0.251,0.337,
Albania,7.381,10.639,9.589,8.556,
Algeria,6.597,8.336,8.309,9.755,
American Samoa,19.308,18.079,17.894,0,
Andorra,48.729,44.925,47.634,50.621,
Angola,0.463,0.803,0.881,0.636,
Anguilla,49.002,46.941,43.232,0,
Antigua and Barbuda,47.873,43.853,31.106,24.479,
Argentina,22.218,24.139,23.099,21.218,
Armenia,18.433,20.924,19.824,16.645,
Aruba,39.379,37.012,34.075,0,
Ascension,49.051,0,0,0,
Australia,52.425,47.241,42.32,33.331,
Austria,47.642,40.626,40.248,41.608,
Azerbaijan,11.278,15.048,18.66,17.041,
Bahamas,41.2,38.214,35.475,28.67,
Bahrain,23.869,19.628,21.712,18.193,
Bangladesh,0.534,0.857,0.637,0.679,
Barbados,48.09,48.358,50.527,45.064,
Belarus,31.1,39.922,46.976,47.499,
Belgium,47.392,43.772,41.033,36.455,
Belize,12.774,10.513,7.235,5.47,
Benin,0.871,1.29,1.712,0.596,
Bermuda,83.33,87.549,70.726,33.413,
Bhutan,3.68,4.219,3.571,2.868,
Bolivia (Plurinational State of),6.614,7.782,8.334,6.851,
Bosnia and Herzegovina,23.884,27.141,24.293,22.641,
Botswana,8.072,7.174,7.881,6.374,
Brazil,20.82,21.15,21.909,18.516,
British Virgin Islands,62.708,54.708,42.016,30.443,
Brunei Darussalam,23.816,21.14,18.465,19.164,
Bulgaria,35.441,29.913,26.918,17.165,
Burkina Faso,0.551,0.888,0.732,0.39,
Burundi,0.345,0.375,0.236,0.202,
Cabo Verde,15.072,14.937,13.077,11.564,
Cambodia,0.257,0.733,2.883,0.789,
Cameroon,0.613,1.581,3.971,3.722,
Canada,64.867,55.122,48.187,38.461,
Cayman Islands,81.829,67.925,59.482,54.69,
Central African Rep.,0.247,0.052,0.023,0.045,
Chad,0.129,0.364,0.201,0.062,
Chile,21.473,20.809,19.201,16.594,
China,18.561,24.869,18.846,13.756,
Cocos Keeling Islands,0,0,0,0,
Colombia,18.403,17.364,15.31,14.258,
Comoros,2.035,3.826,2.933,1.544,
Congo (Rep. of the),0.515,0.306,0.338,0.337,
Cook Islands,33.871,36.476,42.607,37.333,
Costa Rica,27.241,30.353,20.005,15.398,
Croatia,41.58,42.661,38.839,33.132,
Cuba,6.06,9.588,11.004,12.135,
Curacao,0,55,40.862,35.935,
Cyprus,59.473,51.653,41.529,36.936,
Czech Republic,35.22,24.313,19.331,15.032,
Côte d'Ivoire,1.571,1.468,1.219,1.182,
Dem. People's Rep. of Korea,3.73,4.705,4.734,4.651,
Dem. Rep. of the Congo,0.02,0.044,0.034,0,
Denmark,67.714,51.986,36.469,20.123,
Djibouti,1.365,1.847,2.349,3.553,
Dominica,31.445,23.847,24.044,13.514,
Dominican Rep.,10.376,10.078,11.797,12.223,
Ecuador,11.005,13.203,15.095,13.928,
Egypt,11.156,13.526,8.331,7.511,
El Salvador,12.688,17.269,15.793,14.572,
Equatorial Guinea,1.272,1.239,1.322,0.873,
Eritrea,1.39,1.424,1.893,1.948,
Estonia,34.475,36.12,32.432,26.549,
Eswatini,3.845,4.424,4.695,3.708,
Ethiopia,0.547,1.041,0.859,1.109,
Falkland (Malvinas) Is.,83.889,73.232,71.494,71.102,
Faroe Islands,50.967,45.354,42.118,37.444,
Fiji,12.163,14.972,10.094,8.607,
Finland,49.293,30.023,14.358,6.472,
France,56.501,59.64,61.668,59.188,
French Guiana,27.939,22.311,0,0,
French Polynesia,21.344,20.581,22.262,28.644,
Gabon,2.867,2.146,1.126,1.007,
Gambia,2.742,2.855,2.857,1.715,
Georgia,14.232,16.728,28.938,16.703,
Germany,65.357,65.196,59.723,52.083,
Ghana,1.341,1.214,1.036,0.951,
Gibraltar,76.474,71.581,69.823,52.948,
Greece,54.441,52.172,50.594,48.065,
Greenland,46.597,44.273,31.893,14.414,
Grenada,30.585,26.822,25.647,24.605,
Guadeloupe,52.705,60.87,0,0,
Guam,44.649,41.185,41.879,0,
Guatemala,7.501,10.178,11.122,13.676,
Guernsey,88.285,89.805,0,0,
Guinea,0.295,0.231,0.035,0,
Guinea-Bissau,0.817,0.293,0,0,
Guyana,11.934,18.252,20.463,17.937,
Haiti,1.329,1.092,0.364,0.053,
Honduras,5.071,9.423,6.538,5.141,
"Hong Kong, China",China,57.252,60.619,61.739,57.222
Hungary,35.765,31.523,30.459,31.845,
Iceland,67.231,61.774,53.766,42.725,
India,3.781,3.172,2.274,1.683,
Indonesia,4.059,11.856,11.508,3.74,
Iran (Islamic Republic of),20.897,34.05,38.153,37.374,
Iraq,3.812,4.945,5.742,7.12,
Ireland,49.283,49.414,43.493,38.595,
Israel,47.571,45.662,44.857,38.883,
Italy,46.238,39.558,35.183,33.352,
Jamaica,16.324,11.471,8.964,11.685,
Japan,47.146,44.837,49.919,49.922,
Jersey,84.276,84.091,0,0,
Jordan,11.87,8.212,4.815,3.776,
Kazakhstan,14.71,22.051,25.293,19.125,
Kenya,0.896,1.226,0.447,0.137,
Kiribati,4.596,5.763,4.864,0.361,
Korea (Rep. of),51.997,50.889,58.93,51.607,
Kosovo,6.11,6.11,0,0,
Kuwait,22.532,19.789,14.356,13.293,
Kyrgyzstan,8.036,9.205,8.055,5.514,
Lao P.D.R.,1.17,1.713,9.51,19.118,
Latvia,30.14,27.49,21.194,15.417,
Lebanon,15.026,15.661,15.547,16.565,
Lesotho,1.592,2.217,2.266,0.88,
Liberia,0.231,0.082,0.251,0.174,
Libya,13.08,16.801,14.476,22.559,
Liechtenstein,58.845,55.331,49.747,40.103,
Lithuania,27.764,24.133,20.996,16.018,
Luxembourg,55.63,53.204,50.212,45.731,
"Macao, China",China,38.635,33.775,27.348,21.628
Madagascar,0.374,0.756,0.631,0.376,
Malawi,0.633,0.992,0.61,0.079,
Malaysia,18.71,16.416,15.312,20.948,
Maldives,9.692,9.948,5.517,3.831,
Mali,0.489,0.626,0.805,1.177,
Malta,51.575,57.286,54.197,56.271,
Marshall Islands,8.568,0,4.129,0,
Martinique,43.765,43.33,0,0,
Mauritania,1.132,1.787,1.551,1.335,
Mauritius,27.166,29.78,29.296,33.484,
Mayotte,6.115,5.104,4.342,0,
Mexico,15.412,18.015,16.492,17.118,
Micronesia,10.206,8.371,7.687,6.239,
Moldova,18.065,26.801,29.587,27.708,
Monaco,98.302,108.881,128.335,117.539,
Mongolia,5.483,7.297,7.083,9.832,
Montenegro,27.731,27.717,26.471,26.336,
Montserrat,57.03,56.779,57.846,0,
Morocco,4.285,8.776,8.621,5.845,
Mozambique,0.422,0.356,0.337,0.264,
Myanmar,0.764,0.993,1.013,0.994,
Namibia,6.632,7.093,7.862,6.981,
Nauru,17.968,14.784,0,0,
Nepal (Republic of),1.446,2.832,3.107,3.037,
Neth. Antilles,45.383,45.171,0,0,
Netherlands,50.995,44.266,41.97,36.371,
New Caledonia,23.061,25.963,30.846,0,
New Zealand,44.878,42.106,41.231,37.65,
Nicaragua,3.589,4.461,5.29,5.059,
Niger,0.181,0.382,0.541,0.652,
Nigeria,0.632,0.951,0.222,0.07,
Niue,58.999,61.092,62.016,0,
Norfolk Islands,0,0,0,0,
North Macedonia,26.033,21.887,19.091,18.228,
Northern Marianas,38.401,45.039,41.069,0,
Norway,49.647,39.265,24.427,11.798,
Oman,9.993,10.453,9.277,11.34,
Pakistan,2.599,3.104,2.773,1.349,
Palau,37.957,38.776,40.591,0,
Palestine,7.925,9.093,9.177,9.597,
Panama,12.969,14.686,15.198,16.8,
Papua New Guinea,1.025,1.14,1.807,1.867,
Paraguay,5.226,6.071,5.947,4.42,
Peru,6.958,10.625,10.617,9.424,
Philippines,4.023,4.202,3.347,3.854,
Poland,30.718,24.814,20.892,19.08,
Portugal,41.345,40.483,43.748,48.138,
