Country,2000-2005,2006-2010,2011-2015,2016-2019,
Afghanistan,1.343,25.447,51.911,61.365,
Albania,27.69,75.006,117.311,106.981,
Algeria,10.44,80.933,104.238,111.948,
American Samoa,3.575,0,0,0,
Andorra,59.306,78.507,81.873,106.016,
Angola,2.594,29.278,50.757,44.873,
Anguilla,43.558,179.888,186.577,0,
Antigua and Barbuda,56.839,154.654,156.169,191.621,
Argentina,27.629,113.454,149.567,136.317,
Armenia,4.165,73.276,115.904,119.762,
Aruba,68.959,119.066,133.983,0,
Ascension,0,0,0,0,
Australia,69.279,101.045,106.588,109.877,
Austria,88.435,128.605,154.909,123.273,
Azerbaijan,13.303,70.441,110.01,104.607,
Bahamas,39.607,102.956,82.375,99.491,
Bahrain,58.049,115.251,164.381,154.36,
Bangladesh,1.824,29.965,72.671,95.599,
Barbados,43.979,104.996,115.776,115.252,
Belarus,14.061,86.878,117.416,121.96,
Belgium,78.05,103.574,112.32,102.357,
Belize,20.872,48.774,55.27,63.459,
Benin,3.685,42.396,87.404,82.596,
Bermuda,50.067,115.839,109.9,101.962,
Bhutan,1.484,36.037,81.224,95.404,
Bolivia (Plurinational State of),14.693,50.666,92.653,97.975,
Bosnia and Herzegovina,23.758,74.212,95.779,105.266,
Botswana,23.243,79.736,155.917,152.97,
Brazil,26.066,76.632,128.53,105.135,
British Virgin Islands,37.863,128.925,180.956,139.393,
Brunei Darussalam,47.532,100.734,113.645,129.404,
Bulgaria,41.494,130.932,138.29,120.19,
Burkina Faso,1.9,20.561,64.926,93.56,
Burundi,0.993,8.457,30.779,54.738,
Cabo Verde,10.908,49.638,99.225,111.95,
Cambodia,4.059,32.72,125.391,122.934,
Cameroon,5.926,31.266,67.039,79.022,
Canada,40.57,66.332,80.155,88.062,
Cayman Islands,64.314,186.623,159.828,152.689,
Central African Rep.,0.964,13.268,26.47,28.53,
Chad,0.789,14.209,35.152,43.489,
Chile,43.976,92.576,132.845,129.797,
China,18.151,48.027,84.807,109.321,
Cocos Keeling Islands,0,0,0,0,
Colombia,19.319,86.506,110.856,127.653,
Comoros,0.714,14.34,44.348,60.568,
Congo (Rep. of the),8.27,52.18,99.13,101.055,
Cook Islands,12.499,35.676,59.518,81.046,
Costa Rica,15.322,44.244,131.235,171.989,
Croatia,53.601,108.433,110.773,105.072,
Cuba,0.415,4.108,19.233,44.145,
Curacao,0,137.545,127.635,114.674,
Cyprus,67.62,122.371,129.029,137.89,
Czech Republic,84.796,125.533,126.169,119.501,
Côte d'Ivoire,7.092,51.125,92.253,131.336,
Dem. People's Rep. of Korea,0,0.409,8.931,14.616,
Dem. Rep. of the Congo,2.109,13.797,38.385,41.57,
Denmark,84.143,116.177,126.804,124.456,
Djibouti,2.595,12.673,28.212,40.095,
Dominica,32.877,128.654,130.37,107.025,
Dominican Rep.,22.382,73.413,87.63,83.647,
Ecuador,18.586,79.671,99.344,88.76,
Egypt,8.093,53.466,106.119,100.139,
El Salvador,21.911,104.925,141.934,148.971,
Equatorial Guinea,5.944,23.792,47.247,45.799,
Eritrea,0.361,3.771,10.91,17.675,
Estonia,70.92,122.175,144.433,145.28,
Eswatini,9.538,48.441,79.442,91.423,
Ethiopia,0.16,3.507,27.547,43.33,
Falkland (Malvinas) Is.,4.35,100.961,134.123,161.302,
Faroe Islands,69.495,114.378,119.573,115.786,
Fiji,13.927,64.979,100.657,118.79,
Finland,87.497,130.219,149.678,129.989,
France,66.221,90.232,99.409,107.474,
French Guiana,43.372,95.697,0,0,
French Polynesia,28.783,71.039,90.006,105.089,
Gabon,25.871,83.866,147.702,138.14,
Gambia,8.27,60.226,98.621,135.187,
Georgia,14.644,67.097,123.854,136.532,
Germany,77.422,118.572,117.957,129.07,
Ghana,4.8,47.672,104.895,133.132,
Gibraltar,41.948,77.89,108.872,121.403,
Greece,77.067,113.587,116.769,117.41,
Greenland,48.846,100.991,106.452,109.224,
Grenada,24.104,74.547,114.776,104.741,
Guadeloupe,65.933,0,0,0,
Guam,39.158,0,0,0,
Guatemala,17.56,98.309,124.676,116.423,
Guernsey,61.857,0,0,0,
Guinea,1.219,30.878,67.874,97.291,
Guinea-Bissau,1.742,29.844,61.209,78.101,
Guyana,17.557,65.168,72.159,79.383,
Haiti,2.795,29.956,60.461,59.385,
