Country,2006-2010,2011-2015,2016-2019,
Afghanistan,942.75,13468,64335,
Albania,6222,53200,139405,
Algeria,19733.33333,202363.2,550833.5,
American Samoa,25,0,0,
Andorra,1740,3800,11375,
Angola,597.5,12232.4,46786.5,
Anguilla,0,0,0,
Antigua and Barbuda,1200,3451,6250,
Argentina,201997,670845.8,1303133.5,
Armenia,4963.433333,56273,330738,
Aruba,2746,5120,0,
Ascension,8.25,13.25,18,
Australia,353750,862000,1115000,
Austria,278701.375,471225.2,400000,
Azerbaijan,14472.125,149200,379762.5,
Bahamas,620,19180,163650,
Bahrain,5936.5,46132.8,281851,
Bangladesh,3750.5,82458,961443.5,
Barbados,2264.75,21629.6,55221.25,
Belarus,24015,523320,1368440,
Belgium,502037.75,946755,1320000,
Belize,567.5,3641.6,11215.5,
Benin,284.25,1515.4,44981.36,
Bermuda,0,0,0,
Bhutan,100,1687.24,13931.135,
Bolivia (Plurinational State of),4295,46868,161625,
Bosnia and Herzegovina,9775,85020,152500,
Botswana,444.75,3466.8,15822.25,
Brazil,576022.5,2844000,3750000,
British Virgin Islands,251.5,22938,0,
Brunei Darussalam,2043.75,13130,60610,
Bulgaria,160670,432850.2,1519699.5,
Burkina Faso,540.25,3873.8,29008.75,
Burundi,75.5,1099.2,5524,
Cabo Verde,249.5,2087,7625,
Cambodia,2555,19411.8,245134.25,
Cameroon,281.3333333,3736.2,18331.5,
Canada,1152792.5,1866157.8,2350000,
Cayman Islands,0,16797,17737,
Central African Rep.,16.66666667,21.6,1135.333333,
Chad,15.85,306.2,6463.75,
Chile,100266.6667,765600,2021621,
China,743634.4225,2893501.8,22170004.5,
Cocos Keeling Islands,0,0,0,
Colombia,114958.5,1446475.2,5042160.75,
Comoros,49.5,439.6,2274,
Congo (Rep. of the),11.25,1758,6077.5,
Cook Islands,21.25,86,671,
Costa Rica,11310,104116,416827,
Croatia,45333.75,119485,392102,
Cuba,325,1208.8,7362,
Curacao,0,8597.5,24450,
Cyprus,10392.5,38168,337290.5,
Czech Republic,326568.5,505816.8,496000,
Côte d'Ivoire,2202.25,14325.2,68442,
Dem. People's Rep. of Korea,0,0,0,
Dem. Rep. of the Congo,36.25,840,11105,
Denmark,360487.25,430493.8,467500,
Djibouti,541.75,2030,9500,
Dominica,1551.666667,2780,4100,
Dominican Rep.,7887.5,94652.6,375985,
Ecuador,15479.7175,191654,135783.105,
Egypt,48094.5,210166.816,1006551.563,
El Salvador,1169,61519.4,248293,
Equatorial Guinea,86.66666667,242.8,695,
Eritrea,24,128.6,575,
Estonia,19250,49120,141000,
Eswatini,80,771.8,2327.5,
Ethiopia,1243.75,12297.2,31171.5,
Falkland (Malvinas) Is.,8,202.8575,593,
Faroe Islands,0,15844,19548,
Fiji,669,5489.4,18208,
Finland,230480.75,354420.6,395000,
France,2579569.75,2980260,2775000,
French Guiana,0,0,0,
French Polynesia,723.5,3693.575,18800.16667,
Gabon,435,3870.4,11650,
Gambia,90.25,2077.584,14000,
Georgia,10194.25,114120.4,283296.25,
Germany,2347083,2980132.4,3625000,
Ghana,125.3333333,27705,237010.5333,
Gibraltar,0,2100,115490,
Greece,93066.25,456566.6,798793.5,
Greenland,200,650,0,
Grenada,4023,6961.8,19600,
Guadeloupe,0,0,0,
Guam,0,0,0,
Guatemala,4122.5,76542.5,125500,
Guernsey,0,0,0,
Guinea,84.25,749.6,18435,
Guinea-Bissau,26.5,384,3144.5,
Guyana,495.25,3380,43200,
Haiti,0,3072,3072,
Honduras,3182.75,20472.6,194667.5,
"Hong Kong, China",China,2606429.5,14399893,65374640.25
Hungary,261588.75,392359.4,440000,
Iceland,28925,96500,160750,
India,243186.75,1147791.2,19037794.25,
Indonesia,36994.785,634316.6,6772985.75,
Iran (Islamic Republic of),17450.75,145450.92,1212892.125,
Iraq,60.5,100,1293684.737,
Ireland,163933.25,269759.4,307500,
Israel,24844.75,288000,380000,
Italy,1097201.5,1460000,1250000,
Jamaica,3500,17625.4,102000,
Japan,401834.25,1624135.6,2800000,
Jersey,0,0,0,
Jordan,7332.5,47083.8,375518,
Kazakhstan,19429.75,410777.2,901472.75,
Kenya,9537.5125,419932.78,3793105.32,
Kiribati,20,77,194,
