Country,2006-2010,2011-2015,2016-2019
Afghanistan,0,1096961.333,6169147.25
Albania,0,821882,1829121.5
Algeria,0,4924285.6,33719476.75
American Samoa,0,0,0
Andorra,0,30231,42789.33333
Angola,195000,2464406.2,5234980.5
Anguilla,0,0,0
Antigua and Barbuda,0,20013.6,44500
Argentina,2021902,16506316,35436000
Armenia,269262,961776.6,2063520.25
Aruba,0,21000,0
Ascension,0,0,0
Australia,12426000,24649200,32384000
Austria,1698350,5166800,8742504
Azerbaijan,159030.3333,3837055.2,5802816
Bahamas,0,76121.4,284501.25
Bahrain,21571.75,1232070.8,2115812.75
Bangladesh,24933,9988169.2,61841488.75
Barbados,0,100142.6,137991.5
Belarus,1200000,4015291.4,7559511
Belgium,674646,4964010,8701860.5
Belize,0,20970,166084.5
Benin,0,183168.2,1758362
Bermuda,0,5046,5605
Bhutan,1189,144395,695135.5
Bolivia (Plurinational State of),67562.75,1500597.2,8309756.5
Bosnia and Herzegovina,133061,789389.6,1586567.25
Botswana,30000,1093987.667,1682161.5
Brazil,10921258,109711232.4,185798777
British Virgin Islands,0,14391,0
Brunei Darussalam,6390,311991,559584.5
Bulgaria,1361926.5,4236761.4,6808795.5
Burkina Faso,0,1183788.4,5385501.25
Burundi,0,218576.25,1209850
Cabo Verde,0,190678.4,381315.75
Cambodia,150000,2853171.2,12015224.5
Cameroon,0,214000,3512237.25
Canada,10025303,17279255.4,27667180.75
Cayman Islands,0,0,0
Central African Rep.,0,45803.5,217176
Chad,0,50643.6,537583.6667
Chile,1021544.5,6652837.4,16126729.5
China,19791000,403543800,1218055425
Cocos Keeling Islands,0,0,0
Colombia,727424,12887692.4,25565933.25
Comoros,0,0,262129.5
Congo (Rep. of the),0,191151,309000
Cook Islands,0,16.66666667,13000
Costa Rica,112604.6667,3401904.6,4719644.25
Croatia,246383.6667,2632985.6,3320872.75
Cuba,0,0,919564.25
Curacao,0,40779.5,92022.5
Cyprus,325203,443100.2,928272.75
Czech Republic,2809300,5947231,9126950.25
Côte d'Ivoire,0,4177722,13979822.75
Dem. People's Rep. of Korea,0,3240000,3708000
Dem. Rep. of the Congo,0,2871879.2,13472160.25
Denmark,1642466.5,5735895.8,7612981.25
Djibouti,0,18040,179404.75
Dominica,0,10375.8,49783.66667
Dominican Rep.,106413.75,2473383.8,6302996
Ecuador,1322854,3915134.4,8793942.25
Egypt,11122868.5,30071014.4,51692804.75
El Salvador,126685,727986,3118887.667
Equatorial Guinea,0,61.2,1136
Eritrea,0,0,0
Estonia,322399,1137674,1843206
Eswatini,1500,74825,174075
Ethiopia,98000,3870897.6,10070500
Falkland (Malvinas) Is.,0,0,0
Faroe Islands,0,0,45195.66667
Fiji,3674,281122.6,988196.6667
Finland,2936666.667,6509280,8352500
France,14483750,37694400,57915000
French Guiana,0,0,0
French Polynesia,1921,24547.8,159079
Gabon,0,181298.4,1836751.25
Gambia,6000,99229,612782.6667
Georgia,245144,1114323.2,2807383
Germany,15750000,42074200,67373040.5
Ghana,1672576,11683210.6,25249604.75
Gibraltar,0,7659.666667,26456.25
Greece,2080582,4174266,7677134
Greenland,185.6666667,2099,2006.333333
Grenada,0,6872.2,45480
Guadeloupe,0,0,0
Guam,0,0,0
Guatemala,410000,1035921.8,2546180.5
Guernsey,0,0,0
Guinea,0,634289.2,2958529
Guinea-Bissau,0,0,330275.5
Guyana,0,724,103194.5
Haiti,0,11000,2649937.175
Honduras,100000,952336.6,3082460.5
"Hong Kong, China",2554722.5,6486467.8,9838636.5
Hungary,486818.75,2996394.6,6311191.75
Iceland,96913.33333,251800.2,392252.75
India,0,52780482.2,428089616
Indonesia,23243488,73352472.8,198768185.5
Iran (Islamic Republic of),0,5107226.8,51209940
Iraq,0,1260550,12612919.75
Ireland,2228255.5,3403465.8,4940794.75
Israel,2400000,4392688.6,8887500
Italy,13743484.33,37629631.6,53287736.25
Jamaica,40592,1149452.667,1533649.25
Japan,105906300,148606837.4,225384819.5
Jersey,0,0,0
Jordan,1625,3455084.2,7928874.5
Kazakhstan,3700000,8924420,14383025
Kenya,82697,2932432.4,18153038.25
Kiribati,0,0,24186
Korea (Rep. of),41771430.67,52512821.6,57550528.5
Kosovo,0,0,0
Kuwait,1738240,4886724.333,5498962.75
Kyrgyzstan,27720,1182750.4,5235218.75
Lao P.D.R.,4375,347261.2,2917115.5
Latvia,326232.75,1174656.6,2203139.75
Lebanon,0,1861497,3084998.75
Lesotho,37567,417844.5,1111912.75
Liberia,122.6666667,92271.6,506720.5
Libya,0,2006000,2291129.5
Liechtenstein,0,34286.75,47433
Lithuania,184746.3333,1465785,2603180.75
Luxembourg,253713,424274.4,589850
"Macao, China",428767,1655476,2066055.333
Madagascar,9708,917826.2,3145338.667
Malawi,43478.5,1349018.4,4727369.25
Malaysia,1034875,13874700,35253625
Maldives,20996,126234.6,274483.5
Mali,63484,1055187.2,5610395.75
Malta,66126,208121.2,363131
Marshall Islands,0,0,0
Martinique,0,0,0
Mauritania,15506,409818,1911480.75
Mauritius,125107.5,332500,916100
Mayotte,0,0,0
Mexico,1645510,39339182.6,85475562.25
Micronesia,0,0,0
Moldova,78126.33333,1600368.4,2111414.75
Monaco,15000,20809.6,31983.75
Mongolia,201947,1198680,2683423.75
Montenegro,37500,179750.8,440047.75
Montserrat,0,950,0
Morocco,847246.6667,6624817,20402758.75
Mozambique,139000,2844235.8,6719696.75
Myanmar,0,5401565.4,42517071
Namibia,168432.5,714731.8,1586430
Nauru,0,1433.333333,3850
Nepal (Republic of),19000,4775000,12516480
Neth. Antilles,0,0,0
Netherlands,6314000,12149498.2,21237250
New Caledonia,0,13761.33333,0
New Zealand,1687000,3676600,4970000
Nicaragua,22242.66667,144462.6,1428862
Niger,0,142175,629581.5
Nigeria,950000,22057555,53358739
Niue,0,0,0
Norfolk Islands,0,0,0
North Macedonia,386474,822967.2,1289039.5
Northern Marianas,0,0,0
Norway,3235907,4533932.8,5241534.75
Oman,296436,2385586.6,4387681.75
Pakistan,44433.33333,7151221.8,56354810
Palau,0,0,0
Palestine,0,0,583855.6667
Panama,118000,1282736.4,3082901.5
Papua New Guinea,0,296980,817790
Paraguay,116058.5,1442792.6,3820692.5
Peru,175722,5992664.8,20111084
Philippines,1856650,31284653.33,64294576.5
Poland,17730596.5,23486604.8,60296326.75
Portugal,2368040.5,4114661.4,7312644.5
Puerto Rico,0,1004017.4,2483983.667
Qatar,278054,1847520.8,3498033.5
