Country,2000-2005,2006-2010,2011-2015,2016-2019,
Afghanistan,337500,7160642.2,16812271.2,22522280.25,
Albania,860545.8333,2249613.2,3409318.4,3085102.25,
Algeria,3437823.333,28220427.2,39837298.2,46780595.25,
American Samoa,2106.8,0,0,0,
Andorra,43430.16667,65350.6,66083.4,81748,
Angola,490320.6667,6460459.6,13216123,13610912.75,
Anguilla,5282.5,23535,26023.8,0,
Antigua and Barbuda,45217.5,132409,142757.6,182000,
Argentina,10551253.83,45597202.6,63097623.6,60142043,
Armenia,125011.8333,2127005.4,3360790.8,3530273.75,
Aruba,66926.33333,120644.4,138625,0,
Ascension,0,0,74.5,759.5,
Australia,13601833.33,21568000,24779400,27182750,
Austria,7220833.333,10736800,13261161.2,10912115,
Azerbaijan,1116703.833,6249546.6,10325011.8,10351500,
Bahamas,124974,354445,302361.4,381988.5,
Bahrain,459046.6667,1286633.6,2175158.4,2338104.25,
Bangladesh,2503426.667,43484837,111268718.2,153567615.8,
Barbados,120849.8333,294099.8,329033.8,330106.25,
Belarus,1351183.167,8213420,11067203.8,11525476.75,
Belgium,8128335.167,11171296.2,12526668,11716257.75,
Belize,56516.5,150466,190738.2,240899.75,
Benin,281835,3768226.4,8755777.2,9369313.25,
Bermuda,33008.83333,76260,70697.75,64444,
Bhutan,9565.5,243640,577939.8,715447.25,
Bolivia (Plurinational State of),1314484.167,4962567.2,9777070.8,11051025,
Bosnia and Herzegovina,893912.5,2776950.6,3390370.2,3515176.75,
Botswana,403053,1539626.8,3222922,3414390.75,
Brazil,47500584.33,147571137.8,258464815.8,219188977.3,
British Virgin Islands,8000,34563.75,52133,41228.66667,
Brunei Darussalam,167395,382876.2,459430.6,552233.25,
Bulgaria,3226845,9846933.8,10084839.8,8507129.5,
Burkina Faso,246671.8333,3086053.6,11168075.8,18263508,
Burundi,69882.66667,709872.4,2977899.2,6032108,
Cabo Verde,49171.33333,240246.4,509208.6,605056,
Cambodia,525982.1667,4592146.4,18885830.8,19831070,
Cameroon,1013742.833,6094722.2,14891812.8,19677365.75,
Canada,12762600,22151260,28294800,32505737.5,
Cayman Islands,30414.16667,100327.2,95590,96156,
Central African Rep.,38094.5,572574.6,1178794.4,1324572.5,
Chad,76616.66667,1628213.6,4669308.6,6650819.5,
Chile,6974309.333,15501012.2,23360926.2,24136599.75,
China,239044666.7,651165200,1181119640,1557589050,
Cocos Keeling Islands,0,0,0,0,
Colombia,8092572.167,38341170.4,51643927.2,62925522.5,
Comoros,4316.833333,95719.2,331047,499356,
Congo (Rep. of the),285607.5,2135836.4,4594750.6,5160000,
Cook Islands,2338.5,6689.4,10713.66667,14195.5,
Costa Rica,640620.6667,1983439.2,6239828.2,8554208.5,
Croatia,2353850,4717585.6,4736903.6,4380763.75,
Cuba,46608.83333,461374.8,2171716.4,5004406.75,
Curacao,0,202560.5,199511.2,186113.5,
Cyprus,490516.8333,976885.6,1104685,1188527.5,
Czech Republic,8695077.5,13082342.4,13355315,12731756.5,
Côte d'Ivoire,1255503.667,10153103.4,20469372.2,32595734,
Dem. People's Rep. of Korea,0,100236,2232000,3708000,
Dem. Rep. of the Congo,1118006.833,8444799.4,27765039,34464592.75,
Denmark,4530781.167,6389523.6,7147315,7146393.5,
Djibouti,19960.83333,104318.6,250207.8,381800.25,
Dominica,23117.83333,91113.4,92587.8,76481.66667,
Dominican Rep.,1987564.667,6970319.8,8801233.8,8840753,
Ecuador,2515148.833,11626398.8,15593036.4,15039905.5,
Egypt,5953098.667,43078935.8,93852221.6,97468598.5,
El Salvador,1314058.333,6441255.2,8896904.6,9516266,
Equatorial Guinea,42050,209858,508119.2,577662,
Eritrea,10073,116276,358893.2,600500,
Estonia,973412,1637672.2,1906868.8,1919357.75,
Eswatini,97666.66667,510375.4,864468,1023500,
Ethiopia,118852.3333,2987085.6,26619808.4,45412000,
Falkland (Malvinas) Is.,127.6666667,2951.2,3784.4,4837,
Faroe Islands,32925.16667,54686.6,57288.6,55966,
Fiji,113827,550525.8,871668.2,1039300,
Finland,4571018.333,6934000,8134000,7170025,
France,39828176.67,56139020,63501200,69762750,
French Guiana,78490,217748,0,0,
French Polynesia,72591.66667,187628.8,243456,290207.6667,
Gabon,345891,1285397.4,2685494,2887273.5,
Gambia,122077.1667,1032414.6,1955114.2,2995173.333,
Georgia,620977.3333,2774786.2,5014708.2,5469492.75,
Germany,63141500,96161598,95844800,106967500,
Ghana,1020951,11385518,28035982,39212197.75,
Gibraltar,13635.66667,26120,36672.75,40938.25,
Greece,8621889.667,12532377.4,12543631.4,12382217.75,
Greenland,27697,57386.6,60079.4,61790,
Grenada,25121.83333,78793.2,124137,116111.3333,
Guadeloupe,273112,0,0,0,
Guam,61620,0,0,0,
Guatemala,2215576,13880075.4,19403148.6,19898163,
Guernsey,35071.6,0,0,0,
Guinea,107325.6667,3059750,7465852.2,11924000,
Guinea-Bissau,23258.5,438283.8,1013705.2,1447882.25,
Guyana,130921.5,487094.6,548068.4,613934.5,
Haiti,251116.6667,2909600,6304891.8,6564032.5,
Honduras,514572.1667,6106425.4,7794595.6,7803671,
"Hong Kong, China",China,6954474.5,11633362.2,16467497.6,19333563
Hungary,6820265.667,11404822.2,11297352.2,10052917.75,
Iceland,262718.5,329146.8,361285.8,406912.75,
India,33194515.83,404768000,917990463.4,1156053377,
Indonesia,19605350.67,134547067,301905471.4,370369789.3,
Iran (Islamic Republic of),3727526.333,38952410.6,64511346,93587765.75,
Iraq,367833.3333,16855377.4,30256800,35153700.5,
Ireland,3343500,4822990.4,4923089.8,4976447.5,
Israel,6299658.5,8884153,9599000,10877500,
Italy,56452000,88851794.8,93539698.2,83162672.5,
Jamaica,1267521.667,2764072,2929846.4,3086853.25,
Japan,82889142.67,111428499.8,148038864.6,176507411.5,
Jersey,67814.75,0,0,0,
Jordan,1426882.667,5412534.2,10334232.2,9008065.75,
Kazakhstan,1830338.333,14294957.2,28149200,26002850,
Kenya,1777239.667,15865350.4,32398220.6,46463556,
Kiribati,496.8333333,4590.4,24557.6,51529.75,
Korea (Rep. of),32787436.67,45776945.4,55407499.4,65050636.25,
Kosovo,562000,562000,0,0,
Kuwait,1192928.5,2140687.6,6341780.6,7306268.5,
Kyrgyzstan,172065,3317340.4,6991066,8359826.25,
Lao P.D.R.,178563.3333,2349628.8,4547842.2,3923710.5,
Latvia,1100527.833,2261802.8,2494374.6,2314097.25,
Lebanon,826386.6667,1809482.4,4028300.4,4334568.75,
Lesotho,131417,616406.4,1769278.8,1957263.5,
Liberia,51686.66667,870799.4,2765714,2888501,
Libya,464500,7248153.6,9613292,6840034,
Liechtenstein,18400.83333,33053.6,38615.8,46430,
Lithuania,2115730.167,4901081.6,4590577.2,4453821.25,
Luxembourg,450723,710300,784771.6,798125,
"Macao, China",China,323484,904581.4,1688289.2,2066055.333
Madagascar,250237.8333,4418851.8,9265628,9127820.667,
Malawi,161531.5,1756341.8,5217546.2,7732205,
Malaysia,11139958,26905284.4,42004720,43204275,
Maldives,75293.83333,394468,624353,849556,
Mali,249406.5,3876666.6,18277722,21783213.5,
Malta,258459.6667,395719.8,536203.6,610114.5,
Marshall Islands,565,0,15500,16000,
Martinique,263940,0,0,0,
Mauritania,331995,1904876,3745250.6,4241407.75,
Mauritius,411154.3333,1002393,1545560,1859525,
Mayotte,20320,0,0,0,
Mexico,29573547.67,74367091.8,102938895,117068571.8,
Micronesia,5474.166667,25714,28177.75,23263,
Moldova,509161.1667,2070279.8,3589928,3696477.75,
Monaco,15187.5,21424.2,33628.6,33186.75,
Mongolia,311750.3333,1698430.8,3058100.2,3973675,
Montenegro,513493,1033176,1033013.8,1092707.75,
Montserrat,1433.8,3675.6,4480,0,
Morocco,7066993.667,23228553,41037660.6,44208651.5,
Mozambique,517696,4603812.6,13535838.2,13937179,
Myanmar,61953.16667,385049.6,16365735,53225681.67,
Namibia,216203.8333,1208552.8,2458008.2,2730773.75,
Nauru,1350,6200,7633.333333,9950,
Nepal (Republic of),79225.66667,4683887.8,20372556.6,35798384,
Neth. Antilles,200000,0,0,0,
Netherlands,13148166.67,19307200,19876872.6,21073000,
New Caledonia,90947.66667,191646,240437.4,0,
New Zealand,2572500,4416699.4,5041600,6300000,
Nicaragua,469460,2949462.6,6363239.6,7288836.75,
Niger,106727,1909650.6,6868023.8,8125343,
Nigeria,5458198.833,59504471.6,124996318.8,164146299,
Niue,510,0,0,0,
Norfolk Islands,0,0,0,0,
North Macedonia,599495.8333,1824489.2,2198791,1987156,
Northern Marianas,14486,0,0,0,
Norway,3991172,5214322.6,5733570.4,5736489,
Oman,613584.1667,3222813.8,5709017.8,6658629.25,
Pakistan,3824357.667,75782177,123688942,150101776.3,
Palau,4089.25,11592,18679.6,0,
Palestine,283820.3333,1512253.8,3187689.4,4096282,
Panama,852080.1667,4362672.6,6360329.6,5435834.5,
Papua New Guinea,29178.5,920124.8,3005580,3900000,
Paraguay,1507370.167,5051491.8,7018663.2,7539822.25,
Peru,2996723.5,19860918.2,31551728.4,39334439.33,
Philippines,20703492.17,65413535.4,105631165.6,135497566.5,
Poland,16718968.33,42763867.2,54532354,50034779.5,
Portugal,9222267.667,12751699.4,11970694.6,11776372.5,
Puerto Rico,1690607.667,2564030.4,3131406.4,3335958.25,
Qatar,358186.5,1549736.4,3052015.8,3876172.5,
Romania,7010688.5,22064200,23042000,22651250,
Russian Federation,43079968.67,197827112.8,215687104.6,231413192.3,
Rwanda,112893.3333,1649997.6,6666548.2,9274976.75,
Réunion,450500,0,0,0,
Saint Kitts and Nevis,18383.33333,69100,73601.8,76730.5,
Saint Lucia,54194.83333,163119,204137,179428.6667,
Saint Vincent and the Grenadines,37561,116225.6,122513.4,109267,
Samoa,9700,73833.33333,106807.5,137609.5,
San Marino,16375.16667,23965.6,36493.8,37955,
Sao Tome and Principe,4416.166667,56526.6,135202,170095.25,
Saudi Arabia,6581776.333,36105746,53127013.2,42688174.75,
Senegal,789892.3333,5449553.8,12659298.4,16346346.75,
Serbia,5120159.5,8908563.6,9403855,8650367.5,
Seychelles,44963.16667,93869.8,139888.8,172939.25,
Sierra Leone,54762.25,1236200,3752160,6497306.25,
Singapore,3500716.667,6279380,8127380,8611325,
Slovakia,3134793.667,5580813.8,6267917,7187222.75,
Slovenia,1616655.833,2005053.6,2274718.6,2451691.25,
Solomon Islands,2196.166667,42680,340306.4,460512,
Somalia,244166.6667,613240,4123800,7141693.333,
South Africa,17414493,44754000,75307900.2,90077726.75,
South Sudan,0,1500000,2545665,2406788.75,
Spain,34331386.83,49236596,51057663.2,53386098.25,
Sri Lanka,1499267.167,11628633.6,20798016.6,28764462,
St. Helena,0,0,253.4,3249.5,
St. Maarten,0,0,68840,0,
St. Pierre & Miquelon,0,0,0,0,
Sudan,620225.8333,11665162.8,27221554.6,29891501,
Suriname,141756.1667,528436.8,729889.8,792216.5,
Sweden,8031550,10234051.8,12053685.8,12646159.25,
Switzerland,5824768.167,8701696.8,10817111.6,10987084,
Syrian Arab Republic,1185166.667,7936740.2,13308034,16313285,
"Taiwan, Province of China",ProvinceofChina,22463569.67,25549407.2,29614015.6,29163522.25
Tajikistan,77267.83333,3759426.4,7375440,9652000,
Tanzania,1199489.5,13064226.4,30371363.4,42795134.75,
Thailand,17849764.33,58523048.2,91269600,123977750,
Timor-Leste,26284,215245.6,927513.8,1485624.25,
Togo,219991.8333,1647495.6,3928377.4,5989754.75,
Tokelau,0,0,0,0,
Tonga,10207,46869.6,61998.6,89495,
Trinidad and Tobago,432063.1667,1715061,1951539.2,2083201,
Tunisia,2069443,8939012.4,13364683.6,14539200,
Turkey,27538911.5,61002361.2,69638215.4,78442686.25,
Turkmenistan,31355.5,1412840.4,6474680,8976000,
Turks & Caicos Is.,17832.66667,0,0,0,
Tuvalu,300,1500,3746,7800,
Uganda,676707.8333,7394191.6,18341648.2,24413725,
Ukraine,9497124.5,53773952,59853855.2,55302280.25,
United Arab Emirates,2825846.667,8841286.6,15265556.8,19853786.75,
United Kingdom,53063133.5,74413190.6,78375421.6,79617346.5,
United States,154822338.5,259920200,330149400,415114250,
Uruguay,616087.8333,3478173.6,5136679.8,5041179,
Uzbekistan,325492.5,11593402.2,22127675.8,26034251.25,
Vanuatu,6101.833333,75723.4,148230.6,240816.5,
Vatican,0,0,0,0,
Venezuela,7732245.333,25205535.6,29973738,21575509,
Viet Nam,3539557,69716603.8,127839900.4,129371490.5,
Virgin Islands (US),52491.66667,0,0,0,
Wallis and Futuna,0,0,0,0,
Yemen,849211.1667,6633956.2,14906930.6,15696237.33,
Zambia,335676.3333,3539006,10151524.4,14536612.5,
Zimbabwe,392621.3333,3084104.2,12000632.8,13268981,
