ShortName,2000-2005,2006-2010,2011-2015,2016-2019
Afghanistan,0.285426466,2.679424729,6.322909091,11.44768809
Albania,1.711026012,26.94122134,56.84177835,68.92029211
Algeria,2.567206311,10.14743512,24.66,46.55835004
Andorra,19.95788756,69.8753694,90.84888492,94.74905207
Angola,0.415049948,2.04,10.46,13.66953968
Anguilla,25.27674715,43.72,64.80499663,81.56999993
Antigua and Barbuda,16.06278396,38.2,62.236,73
Argentina,12.22876313,30.7972917,59.88861282,72.63194384
Armenia,3.269863147,11.63260823,45.02472793,65.96997901
Aruba,20.09047049,46.18,78.86824539,95.35622693
Ascension,36.55291357,33.5,38.515,0
Australia,54.14846068,71.474,82.10034196,86.54252442
Austria,44.07593052,70.892,80.86495078,86.87266779
Azerbaijan,3.370852812,23.40243547,65.8400034,79.52499864
Bahamas,17.46666667,32.284,72.73364056,82.5
Bahrain,17.26007445,44.22079049,87.7962881,98.05607039
Bangladesh,0.157553168,2.42,8.886,15.46
Barbados,30.95601304,60.94,72.154,80.65508814
Belarus,5.037328487,23.626,52.39585131,76.86713249
Belgium,44.45001453,67.032,82.91062566,88.28166288
Belize,9.612021629,26.06,35.118,45.82918306
Benin,0.782751809,2.109570869,6.160662195,13.05653012
Bermuda,54.24185038,78.80204984,94.01178284,98.185
Bhutan,2.063729823,7.551663452,24.5,41.77264453
Bolivia (Plurinational State of),3.309420671,13.67998311,34.49845413,43.82268797
Bosnia and Herzegovina,7.615410845,33.63847714,47.99824671,66.30375965
Botswana,3.272018204,5.593986595,25.81135956,40.38839601
Brazil,11.64210179,34.55167604,51.63379072,68.17263679
British Virgin Islands,18.88574127,36.5,37.5,77.70284899
Brunei Darussalam,20.5034888,46.97326983,64.14861301,93.71667291
Bulgaria,12.0338702,38.326,53.01754646,63.99116017
Burkina Faso,0.279909218,1.166541513,7.845006983,14.91810346
Burundi,0.232325772,0.813518518,1.968088504,3.917187656
Cabo Verde,3.957389718,16.01842617,37.43660283,56.47612066
Cambodia,0.204881759,0.651671344,7.054638214,35.28157225
Cameroon,0.642732539,3.299748958,11.87900398,23.20297197
Canada,62.48487712,76.58,85.784,91.93068595
Cayman Islands,38.03438308,57.6,72.333189,80.03384663
Central African Rep.,0.150605844,1.097395027,3.2,4.169627472
Chad,0.221366206,1.163654057,2.58,5.74999906
Chile,23.77117267,38.85155023,60.60783985,82.94303648
China,5.172420793,22.46463052,44.9200235,53.75
Colombia,6.196101811,25.84833491,49.90117765,62.38241286
Comoros,0.907532534,3.26,6.482891539,8.208246533
Congo (Rep. of the),0.53612784,3.711040871,6.606533937,8.385974662
Cook Islands,21.1368954,28.57349854,45.00575961,54.00001682
Costa Rica,16.40841797,31.324,49.08702923,73.03610967
Côte d'Ivoire,0.628721497,1.984980158,15.52284599,39.72080662
Croatia,20.46057595,46.158,64.97851761,73.54196784
Cuba,4.796472555,13.20392026,26.30451452,57.69420295
Curacao,0,0,0,64.9913635
Cyprus,26.52069224,44.342,64.81006033,81.78514731
Czech Republic,25.57961667,59.216,73.58619163,79.18887088
Dem. People's Rep. of Korea,0,0,0,0
Dem. Rep. of the Congo,0.113221602,0.477210722,2.375992104,7.414939488
Denmark,64.3849926,86.452,93.80404534,97.35819663
Djibouti,0.564311225,3.130008232,9.479932865,34.40816218
Dominica,22.1614402,42.06052746,54.38,68.3248344
Dominican Rep.,7.200825494,22.48898567,46.00315327,68.75546664
Ecuador,3.947059211,18.086,40.26238024,54.06292473
Egypt,5.484682578,17.86,30.62279747,47.60136863
El Salvador,2.412899545,9.94,22.77900097,37.76966505
Equatorial Guinea,0.522176219,2.557263331,16.40463644,25.00999996
Eritrea,0.173872456,0.5075,0.894746623,1.24301285
Estonia,43.59907393,69.376,81.50909149,88.55800624
Eswatini,2.231117605,6.925307758,23.08596612,29.43676139
Ethiopia,0.100939068,0.484118531,6.031035111,16.99248766
Falkland (Malvinas) Is.,67.11822728,92.36043551,97.22161987,99.01520681
Faroe Islands,53.80191165,74.25788902,88.71347241,96.34532031
Fiji,5.349916314,14.09957389,35.36847135,48.23667566
Finland,59.81230418,82.698,88.61138379,88.41748104
France,31.49563792,66.5,80.58716734,81.28880048
French Guiana,15.34637501,23.9040036,0,0
French Polynesia,12.39331428,36.23359285,56.78336807,70.5721574
Gabon,2.505868682,8.251241076,31.27875585,49.18619695
Gambia,2.266525296,7.030545715,13.87590574,19.16822722
Georgia,2.598243638,14.55337537,40.66595193,62.432352
Germany,50.00454767,77.264,84.31395947,85.93274734
Ghana,0.987493411,4.816635195,17.02354749,36.27507663
Gibraltar,27.3758301,56.9957295,65.0085,94.44447158
Greece,16.32731052,38.626,59.32624962,71.72261655
Greenland,46.61723604,61.81633745,65.79929072,68.99166773
Grenada,13.77574336,23.58319823,40.482,57.46407159
Guadeloupe,12.77794476,21.62083463,0,0
Guam,30.18733267,48.62052943,65.40883185,78.75773273
Guatemala,3.531855977,8.38,20.04118831,37.60618759
Guernsey,54.52701359,83.63201912,83.632,0
Guinea,0.362503904,0.85550348,4.84,14.34334794
Guinea-Bissau,1.102728424,2.274333649,3.105339508,3.845961492
Guyana,9.909239031,21.45,31.5,36.49291839
Haiti,2.48172632,7.613200096,10.59954,19.01077744
Honduras,3.686090088,9.538,19.6,30.81818182
"Hong Kong, China",45.84691178,66.74,76.82292468,89.78653876
Hungary,21.08970511,57.672,71.94636411,78.11400337
Iceland,71.16725487,91.5,96.78725727,98.50205716
India,1.462709312,4.751099973,15.15001218,24.69376668
Indonesia,2.277940646,7.26171345,16.18854852,36.34461189
Iran (Islamic Republic of),4.928051403,11.99,31.27299523,62.42509917
Iraq,0.6,1.288468849,18.502,48.53000007
Ireland,29.95821324,63.70966491,79.4088359,84.31815456
Israel,20.59582242,53.20382733,72.45880655,82.93883559
Italy,29.27549854,45.164,56.4918983,66.26292756
Jamaica,7.279799736,22.614,38.19051394,49.71946171
Japan,48.81121066,74.91905406,85.38696077,92.2303187
Jersey,21.55697025,32.10227273,38.515,0
Jordan,7.735354308,22.01342176,43.92287654,64.5462535
Kazakhstan,1.827001085,13.61767381,62.5281571,77.94900483
Kenya,1.868824078,5.3,13.07757097,18.99740653
Kiribati,2.853780737,7.108,11.49885632,14.14090909
Korea (Rep. of),62.06666667,80.64,86.01044049,95.02322158
Kosovo,0,0,0,86.66831439
Kuwait,16.13138582,43.55823959,72.47581414,93.87722478
Kyrgyzstan,4.429426761,14.8673814,23.76940856,37.59951888
Lao P.D.R.,0.35105203,3.871978686,12.94153524,23.69021754
Latvia,24.50640132,62.294,74.62697625,82.41720152
Lebanon,8.145993919,26.018,66.14995714,77.14538745
Lesotho,1.307527614,3.517027889,15.8,31.12083014
Liberia,0.029421672,1.345344145,9.342,7.651793066
Libya,2.177189691,8.564610234,16.81901995,21.01554009
Liechtenstein,54.54854822,70.85887596,92.01177902,98.82025817
Lithuania,20.77607075,54.18,68.56618515,78.3240883
Luxembourg,48.22012508,82.318,93.3605993,97.52031923
"Macao, China",25.5651392,50.433,66.93876572,83.76977246
Madagascar,0.379159051,1.247510448,3.014794438,4.713662899
Malawi,0.252784364,1.084200445,4.77212,12.6265276
Malaysia,34.3785827,55.0675978,63.71740119,81.07924618
Maldives,5.100563592,20.37327056,44.15441103,61.13912793
Mali,0.300955994,1.381925456,5.166,11.91641372
Malta,27.90192617,51.85,70.85270341,81.63092514
Marshall Islands,2.604093338,4.989118043,14.51648836,34.24447099
Martinique,19.03711561,38.49836906,0,0
Mauritania,0.398691873,2.11265489,8.319825338,19.40048183
Mauritius,11.22724789,21.914,41.0858838,57.54765853
Mayotte,1.211533802,0,0,0
Mexico,11.37156788,23.886,44.44146768,64.80881001
Micronesia,7.682871258,15.2422944,27.54510086,34.32810771
Moldova,6.537518008,24.65212954,55.47400089,73.5622595
Monaco,49.05405244,67.64074442,88.7526604,96.1305774
Mongolia,1.649487615,9.75,17.80848538,36.04750791
Montenegro,26.2250343,33.04,56.37602196,71.53694449
Montserrat,0,24.38334857,54.55099553,0
Morocco,5.747371419,33.53423831,54.28070703,64.80340702
Mozambique,0.413763481,2.032590898,8.752757043,19.14761969
Myanmar,0.022871234,0.217835355,9.245166802,24.3471931
Namibia,2.978336817,6.53269704,15.87385036,33.93537621
Nauru,2.987155233,0,54,62.38512451
Nepal (Republic of),0.402804814,2.836277833,13.2941836,20.54613714
Netherlands,61.41956891,87.458,92.32543841,92.366099
New Caledonia,23.93864191,35.81314294,63.60035056,82.0058408
New Zealand,57.53861753,74.19,83.8754718,89.64063971
Nicaragua,1.818528969,5.861114613,15.3808583,26.21743698
Niger,0.139262164,0.594884919,1.364979133,6.599185759
Nigeria,0.978052293,8.223007217,21.2,25.67
Niue,40.08194123,66.92592757,79.56,0
North Macedonia,15.54062515,42.926,63.56603008,75.28046461
Norway,71.10833333,89.104,95.26073728,97.03686683
Oman,6.164305919,21.52150333,63.64,84.08777314
Pakistan,4.286757145,7.16,11.172,15.52049822
Palau,22.93859976,0,0,0
Palestine,5.097462411,26.7148,48.43483848,65.35024056
Panama,9.158928344,30.52791323,44.63146404,59.84614425
Papua New Guinea,1.276586283,1.517009324,5,10.40536753
Paraguay,2.85213042,14.42841478,36.74396411,61.99776379
Peru,10.40369046,28.528,38.89252018,52.72924705
Philippines,4.056245275,10.38611727,39.78682472,52.8604574
Poland,22.42434974,53.52,64.34123668,76.81592795
Portugal,25.05460071,45.16,62.18169117,73.55553178
Puerto Rico,18.14835684,35.62048364,62.366577,71.49435486
Qatar,14.32292579,46.47482254,81.59496529,97.95479117
Réunion,21.29697277,33.24908332,0,0
Romania,10.02206439,32.382,49.09952933,66.89749679
